dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,ligninPercent_mean_2018_2024,cellulosePercent_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,ligninPercent_mean_2018_2024_unit,cellulosePercent_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_001,BLAN_001.basePlot.cfc,distributed,9bPqo9r3ZrMXiGzhQUFAf65blklU+T3dP3ienEDQrHU=,NA,1,1,0.467,6.9,12.83,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_001,BLAN_001.basePlot.cfc,distributed,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxsBybbGZR2AU=,NA,1,1,0.483,9,12.23,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_003,BLAN_003.basePlot.cfc,distributed,9bPqo9r3ZrPVekffnzp8zQJqybz5Src1qoUuM2P/8ds=,NA,1,1,0.481,3.56,25.51,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_004,BLAN_004.basePlot.cfc,distributed,9bPqo9r3ZrN99L6yMGCD2gTtZ+99HgHKlZ9SrYijL8E=,NA,1,1,0.486,11.46,14.43,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_004,BLAN_004.basePlot.cfc,distributed,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZSIMK2YUcWTdY=,NA,1,1,0.491,5.4,26.14,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_004,BLAN_004.basePlot.cfc,distributed,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI5n/rIQjmRQ0=,NA,1,1,0.49,17.88,12.76,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_005,BLAN_005.basePlot.cfc,distributed,9bPqo9r3ZrOMKxEfhtrPDDr/S6SUT+UGfDonyCdqvw4=,NA,1,1,0.472,10.3,12.69,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_005,BLAN_005.basePlot.cfc,distributed,9bPqo9r3ZrOYXhSj0CWw9zv8PTEWbOIEgq0hllUNSlE=,NA,1,1,0.476,7.49,13.37,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_005,BLAN_005.basePlot.cfc,distributed,9bPqo9r3ZrP7pI0oKq6JGk8pN9rQPd55vFRSd81B+aI=,NA,1,1,0.493,11.03,14.96,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_005,BLAN_005.basePlot.cfc,distributed,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQGUc53AFHufI=,NA,1,1,0.484,7.61,14.16,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,BLAN,cfc_lignin,2020,BLAN,BLAN_007,BLAN_007.basePlot.cfc,distributed,9bPqo9r3ZrOsn06XKPtJ1O0w+dNuMAVax80FA8RIrFk=,NA,1,1,0.498,12.36,19.81,2020,2020,number,gram,percent,percent,NA,NA
