uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
5e8324c2-db92-4616-ab5e-a53546d0fdb0,BLAN_036.basePlot.cfc,D02,BLAN,BLAN_036,tower,9bPqo9r3ZrNqEHkVoqEE9WpHpry6zBrQ2jHi46/5cWg=,NA,9bPqo9r3ZrNqEHkVoqEE9WpHpry6zBrQJySJAM2wy5I=,A00000162165,2020-08-20T14:15:00Z,2021-01-07,1,0.455,9.72,13.08,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
e6ed2ab8-f865-4670-9322-c149ac37b4b7,BLAN_047.basePlot.cfc,D02,BLAN,BLAN_047,tower,9bPqo9r3ZrNIViyBd6fG7Q3NS96Yg81fV32uZE567XM=,NA,9bPqo9r3ZrNIViyBd6fG7Q3NS96Yg81fqiuDgqxWp/c=,A00000162026,2020-08-20T15:46:00Z,2021-01-07,1,0.467,17.89,11.82,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
f4957529-5186-4158-a808-ace395f063f6,BLAN_048.basePlot.cfc,D02,BLAN,BLAN_048,tower,9bPqo9r3ZrPfE9o63YDNLT9mrfLHM6deRyGaHVX+nJQ=,NA,9bPqo9r3ZrPfE9o63YDNLT9mrfLHM6deOctvx+WKQLU=,A00000162197,2020-08-20T17:03:00Z,2021-01-07,1,0.501,11.05,12.73,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
58ff47bf-2bae-44b2-8d3b-951bdb00faa6,BLAN_005.basePlot.cfc,D02,BLAN,BLAN_005,distributed,9bPqo9r3ZrOYXhSj0CWw9zv8PTEWbOIEgq0hllUNSlE=,NA,9bPqo9r3ZrOYXhSj0CWw9zv8PTEWbOIEtxF1HpYe3ZWyQ1IikTLdsQ==,A00000162116,2020-08-24T15:00:00Z,2021-01-07,1,0.476,7.49,13.37,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
e6741633-b483-4035-bced-a47da16ca905,BLAN_005.basePlot.cfc,D02,BLAN,BLAN_005,distributed,9bPqo9r3ZrOMKxEfhtrPDDr/S6SUT+UGfDonyCdqvw4=,NA,9bPqo9r3ZrOMKxEfhtrPDDr/S6SUT+UGvI+a+FTD3SQ=,A00000162675,2020-08-24T16:55:00Z,2021-01-07,1,0.472,10.3,12.69,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
df0a9b62-e417-4874-b42e-be09b0692745,BLAN_005.basePlot.cfc,D02,BLAN,BLAN_005,distributed,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQGUc53AFHufI=,NA,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQJNwRcolxIB0=,A00000162109,2020-08-24T18:59:00Z,2021-01-07,1,0.484,7.61,14.16,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
2ffa9c1a-e582-4647-8a05-fa05f245921d,BLAN_005.basePlot.cfc,D02,BLAN,BLAN_005,distributed,9bPqo9r3ZrP7pI0oKq6JGk8pN9rQPd55vFRSd81B+aI=,NA,9bPqo9r3ZrP7pI0oKq6JGk8pN9rQPd55dKe6J9CnyBQ=,A00000162670,2020-08-25T13:55:00Z,2021-01-07,1,0.493,11.03,14.96,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
fdc268ba-e90c-4718-9307-4e683646413c,BLAN_011.basePlot.cfc,D02,BLAN,BLAN_011,distributed,9bPqo9r3ZrNEZ2H+pHHH8NcmiCQq4qj0u3qhz6NCPzs=,NA,9bPqo9r3ZrNEZ2H+pHHH8NcmiCQq4qj0YvDiH/wfWm4j8c+VZjBUug==,A00000162158,2020-08-25T16:54:00Z,2021-01-07,1,0.469,10.31,18.31,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
ee18e6a1-0384-44bd-a698-c700fa68cbb6,BLAN_004.basePlot.cfc,D02,BLAN,BLAN_004,distributed,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI5n/rIQjmRQ0=,NA,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI6CzkHUq4UTs=,A00000162119,2020-08-25T18:13:00Z,2021-01-07,1,0.49,17.88,12.76,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
51eef780-bb2d-4f64-a835-43546717855e,BLAN_001.basePlot.cfc,D02,BLAN,BLAN_001,distributed,9bPqo9r3ZrMXiGzhQUFAf65blklU+T3dP3ienEDQrHU=,NA,9bPqo9r3ZrMXiGzhQUFAf65blklU+T3dqe3r1zFemnE=,A00000162677,2020-08-26T12:52:00Z,2021-01-07,1,0.467,6.9,12.83,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
cca6a0b0-29f9-4fd5-af38-d97327276994,BLAN_015.basePlot.cfc,D02,BLAN,BLAN_015,distributed,9bPqo9r3ZrME3hfzDvbi+A7EgfyIPqFwLG5qtaSait8=,NA,9bPqo9r3ZrME3hfzDvbi+A7EgfyIPqFwmm50Fsi/TvQkvQKjY7ahIg==,A00000162669,2020-08-26T14:31:00Z,2021-01-07,1,0.5,7.78,13.5,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
12452e2f-d6cd-4e55-b200-f933ea1e31fe,BLAN_015.basePlot.cfc,D02,BLAN,BLAN_015,distributed,9bPqo9r3ZrP+zSFhhx4qK2TeyFZAxVDYBjQSIOhrAFg=,NA,9bPqo9r3ZrP+zSFhhx4qK2TeyFZAxVDYBUJo+9A+ReI=,A00000162112,2020-08-26T16:10:00Z,2021-01-07,1,0.479,8.43,11.51,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
b9dfd324-df2d-4706-b02a-3352a68ea349,BLAN_004.basePlot.cfc,D02,BLAN,BLAN_004,distributed,9bPqo9r3ZrN99L6yMGCD2gTtZ+99HgHKlZ9SrYijL8E=,NA,9bPqo9r3ZrN99L6yMGCD2gTtZ+99HgHKpaXAAhPefQ+sFA7E4zWgeA==,A00000162680,2020-08-27T13:07:00Z,2021-01-07,1,0.486,11.46,14.43,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
ddb24bc7-3708-4fe6-a2ae-dc43bfcfe28f,BLAN_013.basePlot.cfc,D02,BLAN,BLAN_013,distributed,9bPqo9r3ZrOa30nrgrEjerphdnd0X4OsP7xRQKP2wbw=,NA,9bPqo9r3ZrOa30nrgrEjerphdnd0X4OsnPtFfcm2fkc=,A00000162682,2020-08-27T14:39:00Z,2021-01-07,1,0.494,14.34,12.74,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
8b31b296-6495-454b-9baa-7c65926c5dfe,BLAN_063.basePlot.cfc,D02,BLAN,BLAN_063,tower,9bPqo9r3ZrN6abvx9tguI2QKRQrv9Qj/B+lUTcUgptE=,NA,9bPqo9r3ZrN6abvx9tguI2QKRQrv9Qj/QoNJw6GCxXA=,A00000162171,2020-08-27T20:00:00Z,2021-01-07,1,0.496,18.57,16.33,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_lignin
