dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,archiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,archiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_001,LAJA_001.basePlot.cfc,distributed,Ar6g0CWrZRBwmsgrHeO/0+Js9/xtk0T3wkhiVacn9Q0=,A00000111051,1,4.95,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_002,LAJA_002.basePlot.cfc,distributed,Ar6g0CWrZRDlz60Q7GQRiKbXo9SPlPRL10qzHcB0Kgo=,A00000111062,1,6.42,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_003,LAJA_003.basePlot.cfc,distributed,Ar6g0CWrZRA4jpn6DkrjyXlrTJouo1PgkU+o9DMEZf0=,A00000111053,1,3.98,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_004,LAJA_004.basePlot.cfc,distributed,Ar6g0CWrZRCDO1Rgx6zAb4btbQlLYQhql64y0VSHcfI=,A00000111048,1,4.87,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_005,LAJA_005.basePlot.cfc,distributed,Ar6g0CWrZRAE7HddE9FEs4Zfsl3t+9fe9O98oSlZ3Fs=,A00000111054,1,4.99,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_006,LAJA_006.basePlot.cfc,distributed,Ar6g0CWrZRD5dm2goxXsx0/QNAHj3nqTehqswi0C24k=,A00000111050,1,4.53,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_007,LAJA_007.basePlot.cfc,distributed,Ar6g0CWrZRBWPgYJsj3Q7JlS34/r+iuLwBzlNoRlfoo=,A00000111056,1,4.55,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_008,LAJA_008.basePlot.cfc,distributed,Ar6g0CWrZRDOi5qMQxVM1gpJYdxOPvkAVQHq8DeRK24=,A00000111052,1,3.86,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_009,LAJA_009.basePlot.cfc,distributed,Ar6g0CWrZRCbGmQ2ftpOwhEPRtv0yDiEEsEVCQbt5Hw=,A00000111058,1,5.04,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_010,LAJA_010.basePlot.cfc,distributed,Ar6g0CWrZRCve5Sg3WtR09D5UsvlfdaMKA3+XudmWMU=,A00000111055,1,5.84,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_011,LAJA_011.basePlot.cfc,distributed,Ar6g0CWrZRDkMzp3IjtlzO5jCitQ1H/XqkAwcevXwxw=,A00000111049,1,4.85,2020,2020,gram,NA,NA
DP1.10026.001,LAJA,cfc_chemistrySubsampling,2020,LAJA,LAJA_015,LAJA_015.basePlot.cfc,distributed,Ar6g0CWrZRACJ79IJPHX6uJ6jDUBfR59YmSeB8NN3bk=,A00000111060,1,4.06,2020,2020,gram,NA,NA
