dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,d15N_mean_2018_2024,d13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,carbonPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,d13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,carbonPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_001,LAJA_001.basePlot.cfc,distributed,Ar6g0CWrZRBwmsgrHeO/0+Js9/xtk0T3wkhiVacn9Q0=,A00000111051,1,5.2,-12.8,1.72,41.96,24.4,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_002,LAJA_002.basePlot.cfc,distributed,Ar6g0CWrZRDlz60Q7GQRiKbXo9SPlPRL10qzHcB0Kgo=,A00000111062,1,0.5,-14.4,1.52,43.68,28.7,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_003,LAJA_003.basePlot.cfc,distributed,Ar6g0CWrZRA4jpn6DkrjyXlrTJouo1PgkU+o9DMEZf0=,A00000111053,1,4.5,-12.5,2.6,43.32,16.6,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_004,LAJA_004.basePlot.cfc,distributed,Ar6g0CWrZRCDO1Rgx6zAb4btbQlLYQhql64y0VSHcfI=,A00000111048,1,4.3,-12.5,0.65,43.86,67.4,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_005,LAJA_005.basePlot.cfc,distributed,Ar6g0CWrZRAE7HddE9FEs4Zfsl3t+9fe9O98oSlZ3Fs=,A00000111054,1,4,-12.7,2.13,44.01,20.7,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_006,LAJA_006.basePlot.cfc,distributed,Ar6g0CWrZRD5dm2goxXsx0/QNAHj3nqTehqswi0C24k=,A00000111050,1,2.1,-13.9,1.05,44.14,42,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_007,LAJA_007.basePlot.cfc,distributed,Ar6g0CWrZRBWPgYJsj3Q7JlS34/r+iuLwBzlNoRlfoo=,A00000111056,1,2.1,-12.5,0.73,42.49,58.2,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_008,LAJA_008.basePlot.cfc,distributed,Ar6g0CWrZRDOi5qMQxVM1gpJYdxOPvkAVQHq8DeRK24=,A00000111052,1,2.5,-13,0.91,40.92,44.8,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_009,LAJA_009.basePlot.cfc,distributed,Ar6g0CWrZRCbGmQ2ftpOwhEPRtv0yDiEEsEVCQbt5Hw=,A00000111058,1,2.4,-17.8,1.24,44.17,35.7,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,LAJA,cfc_carbonNitrogen,2020,LAJA,LAJA_010,LAJA_010.basePlot.cfc,distributed,Ar6g0CWrZRCve5Sg3WtR09D5UsvlfdaMKA3+XudmWMU=,A00000111055,1,4.7,-12.3,1.34,42.43,31.6,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
