dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,bgcArchiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,bgcArchiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_001,STEI_001.basePlot.bgc,M,2,105.19999999999999,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_002,STEI_002.basePlot.bgc,M,3,218.96666666666667,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_003,STEI_003.basePlot.bgc,M,2,210.95,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_004,STEI_004.basePlot.bgc,M,3,217.76666666666665,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_008,STEI_008.basePlot.bgc,M,3,244.1,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_021,STEI_021.basePlot.bgc,O,3,68,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_047,STEI_047.basePlot.bgc,M,3,229.13333333333333,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_053,STEI_053.basePlot.bgc,M,3,187.83333333333334,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_059,STEI_059.basePlot.bgc,M,3,197.53333333333333,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_060,STEI_060.basePlot.bgc,M,2,191.35000000000002,2022,2022,gram,NA,NA
DP1.10086.001,STEI,sls_bgcSubsampling,2018-2024,STEI,STEI_060,STEI_060.basePlot.bgc,O,1,47.4,2022,2022,gram,NA,NA
