uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release,dpID,site_download,year_download,source_table
cabad79c-6fe0-461f-9c18-6b6cfdb15a58,D11,CLBJ,CLBJ_038,CLBJ_038.basePlot.bgc,2024-04-11T17:24:00Z,2024-04-11T17:24:00Z,NEON.DOC.014048vP,M,2024-04-12T17:39:00Z,2024-04-22T21:40:00Z,CLBJ_038-M-39-20240411,A00000277194,CLBJ_038-M-39-20240411-CN,A00000418479,CLBJ_038-M-39-20240411-BA,A00000420825,170.2,Y,OK,NA,0009-0003-7403-3606,NA,20251217T193723Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_bgcSubsampling
6f4ea812-c016-40ce-90a7-20695a9fb849,D11,CLBJ,CLBJ_038,CLBJ_038.basePlot.bgc,2024-04-11T18:10:00Z,2024-04-11T18:10:00Z,NEON.DOC.014048vP,M,2024-04-12T15:47:00Z,2024-04-22T21:41:00Z,CLBJ_038-M-41-20240411,A00000421082,CLBJ_038-M-41-20240411-CN,A00000418435,CLBJ_038-M-41-20240411-BA,A00000420818,180,Y,OK,NA,0009-0002-7681-7124,NA,20251217T193723Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_bgcSubsampling
74c2e08f-ee83-4f2d-a391-709720a68a90,D11,CLBJ,CLBJ_038,CLBJ_038.basePlot.bgc,2024-04-11T19:04:00Z,2024-04-11T19:04:00Z,NEON.DOC.014048vP,M,2024-04-12T18:50:00Z,2024-04-22T21:40:00Z,CLBJ_038-M-21-20240411,A00000421098,CLBJ_038-M-21-20240411-CN,A00000418459,CLBJ_038-M-21-20240411-BA,A00000420808,176.5,Y,OK,NA,0009-0000-3406-7017,NA,20251217T193723Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_bgcSubsampling
