uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
f6bda403-e851-4491-9e67-0ddb29096da8,LENO_009.basePlot.cfc,D08,LENO,LENO_009,distributed,jmTOfpHQ+ZsGk4OODq6BqkGdtQOgMiJWjSJxCk5Z8ps=,A00000013736,jmTOfpHQ+ZsGk4OODq6BqkGdtQOgMiJWKrYWh7AzIPE=,A00000013840,2018-05-01T14:47:00Z,2018-10-10,N,-0.4,-28.6,2.47,49.73,20.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
f346fe9c-82b8-4000-b7dc-6bf1cb8ff088,LENO_009.basePlot.cfc,D08,LENO,LENO_009,distributed,jmTOfpHQ+Zt0x+TEWDGkLRJrf/WzHMuDBsNTMsnFqps=,A00000013737,jmTOfpHQ+Zt0x+TEWDGkLRJrf/WzHMuDEHVUOeixwyw=,A00000013836,2018-05-01T14:54:00Z,2018-10-10,N,2.2,-28.1,2.15,50.24,23.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
2e611eee-32fd-4385-b7c8-8d7c082f2bd7,LENO_007.basePlot.cfc,D08,LENO,LENO_007,distributed,jmTOfpHQ+ZsZMjJ+IBWsbRvFmYm1hO1J1tDtfAKAgPM=,A00000013732,jmTOfpHQ+ZsZMjJ+IBWsbRvFmYm1hO1JW2o33u+926Y=,A00000013827,2018-05-02T14:57:00Z,2018-10-10,N,1.7,-28,1.48,50.01,33.8,OK,OK,OK,OK,2,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
dcb83cdd-8e8c-4e26-9a07-e2c043802a35,LENO_007.basePlot.cfc,D08,LENO,LENO_007,distributed,jmTOfpHQ+ZsZMjJ+IBWsbRvFmYm1hO1J1tDtfAKAgPM=,A00000013732,jmTOfpHQ+ZsZMjJ+IBWsbRvFmYm1hO1JW2o33u+926Y=,A00000013827,2018-05-02T14:57:00Z,2018-10-10,N,1.7,-28.1,1.58,50.36,31.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
c72b556f-02d8-4e7d-9016-5f17e2daccae,LENO_007.basePlot.cfc,D08,LENO,LENO_007,distributed,jmTOfpHQ+ZtF6/ER24Aek3DXLf9pG2Cvz3xw95hmPDk=,A00000013733,jmTOfpHQ+ZtF6/ER24Aek3DXLf9pG2Cvxrx3C03bN6M=,A00000013824,2018-05-02T14:58:00Z,2018-10-10,N,2.5,-31,2.45,50.3,20.5,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
e3ec76c2-32ca-4211-97a7-c3de3c210e9a,LENO_007.basePlot.cfc,D08,LENO,LENO_007,distributed,jmTOfpHQ+ZsZMjJ+IBWsbWMUZZWtI1HZxMr3IcHkPKU=,A00000013734,jmTOfpHQ+ZsZMjJ+IBWsbWMUZZWtI1HZ3Ut83fosMO4=,A00000013837,2018-05-02T15:01:00Z,2018-10-10,N,1.3,-29.5,1.82,49.78,27.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
3bf3caa9-d9a9-4f95-83b8-97581099eeab,LENO_005.basePlot.cfc,D08,LENO,LENO_005,distributed,jmTOfpHQ+ZvRAXq72i02G0RXVXFHpQVhdatGKlsB3Oc=,A00000013716,jmTOfpHQ+ZvRAXq72i02G0RXVXFHpQVhNsH93SG6bkI=,A00000013843,2018-05-02T15:07:00Z,2018-10-10,N,1,-29.3,1.83,49.66,27.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
5148a9eb-fc85-479b-a7b8-67ed86c04932,LENO_005.basePlot.cfc,D08,LENO,LENO_005,distributed,jmTOfpHQ+ZvRAXq72i02G7YjWbh0/3KhgzlbiozSO/A=,A00000013717,jmTOfpHQ+ZvRAXq72i02G7YjWbh0/3KhUKR03RoVguI=,A00000013807,2018-05-02T15:08:00Z,2018-10-10,N,0.7,-28.4,1.91,49.01,25.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
58f0a48d-4812-42bd-aba1-6691b3f02e0d,LENO_005.basePlot.cfc,D08,LENO,LENO_005,distributed,jmTOfpHQ+ZvRE8fwY+qiR6/7GF7acZ5DFKbf4swOhB0=,A00000013718,jmTOfpHQ+ZvRE8fwY+qiR6/7GF7acZ5Dd6B+jUUxF0s=,A00000013848,2018-05-02T15:09:00Z,2018-10-10,N,0.6,-30.1,2.48,49.65,20,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
b5185714-75d4-421b-bd73-a451c038c552,LENO_011.basePlot.cfc,D08,LENO,LENO_011,distributed,jmTOfpHQ+ZuD7DuvLcKVc/1VgjgdC1KO0P5JSX0cvQY=,A00000013738,jmTOfpHQ+ZuD7DuvLcKVc/1VgjgdC1KOnUat2+EfrO8=,A00000013811,2018-05-02T15:12:00Z,2018-10-10,N,1.4,-27.1,2.82,43,15.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
