dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,d15N_mean_2018_2024,d13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,carbonPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,d13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,carbonPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_001,GUAN_001.basePlot.cfc,distributed,xIqeKa1cF5wJTjPuLW4femBGd/9YfzRCvxEJCgkEmyU=,A00000007251,1,7,-30.6,1.31,45.05,34.4,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_001,GUAN_001.basePlot.cfc,distributed,xIqeKa1cF5wJTjPuLW4fetTL3SLLqgtf8IZjC0RST5g=,A00000195526,1,4.5,-26.3,1.12,48.98,43.7,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_001,GUAN_001.basePlot.cfc,distributed,xIqeKa1cF5yM8COs61ByxDBBgsQwQT5zXmYx7+T3xKE=,A00000196260,1,5.2,-27,2.03,44.99,22.2,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_001,GUAN_001.basePlot.cfc,distributed,xIqeKa1cF5yM8COs61ByxNYWb0J8TMOyRbC9EIJng0k=,A00000007250,1,5.7,-30.4,1.63,38.95,23.9,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_001,GUAN_001.basePlot.cfc,distributed,xIqeKa1cF5yMBPJoNJKIaUGw4L/FPEbO0A4PDvYAfc4=,A00000007249,1,6.3,-28.5,1.69,41.76,24.7,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_001,GUAN_001.basePlot.cfc,distributed,xIqeKa1cF5yMBPJoNJKIaao/Xnwrd00R5EpOFLPBRm4=,A00000196259,1,5,-24.5,1.93,46.64,24.1,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_001,GUAN_001.basePlot.cfc,distributed,xIqeKa1cF5yuxYmoQLiTXU//LFQCmF626HRdoebOF0o=,A00000196261,1,8.6,-27.5,2.13,51.35,24.1,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_002,GUAN_002.basePlot.cfc,distributed,xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmtKHy1jKltlY=,A00000007222,1,2.9,-27,1.46,44.87,30.8,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_002,GUAN_002.basePlot.cfc,distributed,xIqeKa1cF5zQpITFlQ9eZCP13+CMJkG05NaXSHGeIhs=,A00000005671,1,4.7,-27.2,1.62,45.21,27.9,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_002,GUAN_002.basePlot.cfc,distributed,xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHS8XmHwaLsRY0=,A00000007235,1,4.9,-27.4,1.92,47.47,24.7,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_003,GUAN_003.basePlot.cfc,distributed,xIqeKa1cF5w1nHnXZJaXrn135RaJdyucJQgfIA9El9U=,A00000007241,1,4.3,-26.9,2.12,50.63,23.9,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_003,GUAN_003.basePlot.cfc,distributed,xIqeKa1cF5wMpbmu91XFc/mrtqEJApmBlmQHM/GjOGU=,A00000007243,1,8.4,-26.5,3.39,50.84,15,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_003,GUAN_003.basePlot.cfc,distributed,xIqeKa1cF5weKfpi9CqzYMUGsdfG7nKNVO1lR8omq1I=,A00000007242,1,5.7,-27.3,2.3,48.65,21.1,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_003,GUAN_003.basePlot.cfc,distributed,xIqeKa1cF5x8QxTcC5aUMZe63AraI+VVI+wU3hAECqw=,A00000196258,1,3.1,-26.9,2.93,47.53,16.2,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_003,GUAN_003.basePlot.cfc,distributed,xIqeKa1cF5y/ulQMAFBj0sAQMfz5wnDJBvcJ4LSmero=,A00000196256,1,3.2,-27.1,2.33,51.25,22,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_003,GUAN_003.basePlot.cfc,distributed,xIqeKa1cF5zvfyWocxcqlJ8UPQGyWe9Pg1u345buee4=,A00000196265,1,4.6,-26.1,1.47,47.6,32.3,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_004,GUAN_004.basePlot.cfc,distributed,xIqeKa1cF5wb9AoQTlI2I7Su0gVCCsx4wFbNQlD28q4=,A00000195444,1,2.5,-28.6,1.55,53.84,34.8,1,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_004,GUAN_004.basePlot.cfc,distributed,xIqeKa1cF5wwrIuSv422hnj6XHplVzshXD0Ib8lBPbg=,A00000007263,2,2.9,-27.65,2.225,50.16,22.6,1.5,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_004,GUAN_004.basePlot.cfc,distributed,xIqeKa1cF5xcshSqEyAlFcPI1d8lnvq+GjK3rffgfRc=,A00000007264,1,-0.7,-26,2.74,47.96,17.5,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_004,GUAN_004.basePlot.cfc,distributed,xIqeKa1cF5zts93CSVKm4U3tyCpyHWZrw2TsZG9cUDY=,A00000007265,1,4.9,-28.9,1.7,43.94,25.8,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_005,GUAN_005.basePlot.cfc,distributed,xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACWg8RbYWNFok=,A00000007239,1,4.1,-27.8,1.71,48.95,28.6,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_005,GUAN_005.basePlot.cfc,distributed,xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWWoKdFND3pnKw=,A00000007254,1,3.5,-28,2.67,50.07,18.8,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_005,GUAN_005.basePlot.cfc,distributed,xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9YGACYUvroDA=,A00000007240,1,7.5,-28.5,3.2,50.86,15.9,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_006,GUAN_006.basePlot.cfc,distributed,xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZ7pL+xCNZ2cM=,A00000007238,1,2.1,-26.3,2.12,51.07,24.1,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_006,GUAN_006.basePlot.cfc,distributed,xIqeKa1cF5yd5Y4jHTwwj3GtypZci34bZUTYzRerIvQ=,A00000007237,1,3.6,-29.2,1.6,40.98,25.6,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_006,GUAN_006.basePlot.cfc,distributed,xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+bhbTP1Jbu7o=,A00000007253,1,5.1,-27.8,2.1,51.24,24.4,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_007,GUAN_007.basePlot.cfc,distributed,xIqeKa1cF5wOaaZ/OOUvWBxOFerry+L3G12k7BVW14I=,A00000195527,2,4.2,-26.05,1.98,51.315,26,1.5,2022,2022,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_007,GUAN_007.basePlot.cfc,distributed,xIqeKa1cF5wOaaZ/OOUvWCI8jnf7NEuNRxwk/ZU9M4U=,A00000007247,2,4,-28.85,2.045,49.239999999999995,24.05,1.5,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,GUAN,cfc_carbonNitrogen,"2018,2022",GUAN,GUAN_007,GUAN_007.basePlot.cfc,distributed,xIqeKa1cF5xYBHSYE3LGXLFnC5oSjTgXBaRIowYiH6k=,A00000005673,1,5.4,-29.6,1.37,44.4,32.4,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
