dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,bgcArchiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,bgcArchiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_001,CLBJ_001.basePlot.bgc,M,6,186.7,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_002,CLBJ_002.basePlot.bgc,M,6,151.76666666666668,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_003,CLBJ_003.basePlot.bgc,M,6,175.43333333333334,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,M,6,191.03333333333333,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_031,CLBJ_031.basePlot.bgc,M,3,NA,2019,2019,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_032,CLBJ_032.basePlot.bgc,M,6,148.26666666666668,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_033,CLBJ_033.basePlot.bgc,M,6,224.13333333333333,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_034,CLBJ_034.basePlot.bgc,M,6,187.96666666666667,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_035,CLBJ_035.basePlot.bgc,M,3,179.1,2024,2024,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_038,CLBJ_038.basePlot.bgc,M,6,175.56666666666666,2021.5,2021.5,gram,NA,NA
DP1.10086.001,CLBJ,sls_bgcSubsampling,2018-2024,CLBJ,CLBJ_040,CLBJ_040.basePlot.bgc,M,6,137.56666666666666,2021.5,2021.5,gram,NA,NA
