uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
373f0ad1-7181-4d49-b8c7-bd1d61a62933,BARR_021.basePlot.cfc,D18,BARR,BARR_021,distributed,TN1TQAl40/s7xeUhBKt6OhkNFhetsQidMDYwQw/jEV8=,A00000349374,TN1TQAl40/s7xeUhBKt6OhkNFhetsQid38+vvfU/aYs=,A00000350043,2022-07-27T17:26:00Z,2022-12-16,1,0.493,3.06,23.32,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
412c38c1-47a9-4e08-bf1f-b2e79823e938,BARR_015.basePlot.cfc,D18,BARR,BARR_015,distributed,TN1TQAl40/sB+d9UYqY0n5SzmRzSg575JKl84e9jPnc=,A00000349341,TN1TQAl40/sB+d9UYqY0n5SzmRzSg575YCAy+GhetOk=,A00000349969,2022-07-27T18:06:00Z,2022-12-16,1,0.44,5.15,21.82,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
4dddf3a3-4298-4e3d-8ef9-d36b43a9815d,BARR_008.basePlot.cfc,D18,BARR,BARR_008,distributed,TN1TQAl40/t5vglrnm9Mr62329N+eC4tlnqcjAJMAgo=,A00000349327,TN1TQAl40/t5vglrnm9Mr62329N+eC4t86Zt1uROMas=,A00000349973,2022-07-27T18:37:00Z,2022-12-16,1,0.467,6.75,28.58,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
e76862d1-e386-4d9e-9207-b7dede9aada1,BARR_024.basePlot.cfc,D18,BARR,BARR_024,distributed,TN1TQAl40/tuav5tsd9+KHxJ7HPMNOn6YWTozWOxLzU=,A00000349377,TN1TQAl40/tuav5tsd9+KHxJ7HPMNOn6VRUJxj7iIUY=,A00000350071,2022-07-27T18:48:00Z,2022-12-16,1,0.474,6.04,25.74,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
2d4a18a0-4072-4d69-b126-40f1c68c03ef,BARR_011.basePlot.cfc,D18,BARR,BARR_011,distributed,TN1TQAl40/tyHYgMn9YmcP1hNBO6LEG9+ptMMnWyb24=,A00000349330,TN1TQAl40/tyHYgMn9YmcP1hNBO6LEG9vTrOARAkMfY=,A00000349981,2022-07-27T19:35:00Z,2022-12-16,1,0.467,4.26,29.57,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
9d9d1a8d-3429-4f0d-a6d7-d6d471fc60ab,BARR_014.basePlot.cfc,D18,BARR,BARR_014,distributed,TN1TQAl40/vkUREDaN0DgbD1lpx6G23xHj3RFKwcoA0=,A00000349359,TN1TQAl40/vkUREDaN0DgbD1lpx6G23xHQBBfSN2w9U=,A00000349967,2022-07-27T21:02:00Z,2022-12-16,1,0.471,7.86,27.01,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
c6c4e698-7a37-4dfa-8756-4958638a4178,BARR_002.basePlot.cfc,D18,BARR,BARR_002,distributed,TN1TQAl40/vqyPfKxP0qWrPjgXK1s71DDOrOHpicakU=,A00000349362,TN1TQAl40/vqyPfKxP0qWrPjgXK1s71DhqHZeV6dSqY=,A00000350013,2022-07-28T18:15:00Z,2022-12-16,1,0.469,4.59,23.55,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
5bbf036e-98a2-44a0-8bb6-fab295c9591c,BARR_007.basePlot.cfc,D18,BARR,BARR_007,distributed,TN1TQAl40/uovFJwr6HcovMNF59+jaORcyfSa7CIuxQ=,A00000349331,TN1TQAl40/uovFJwr6HcovMNF59+jaOR8d52fqw5buI=,A00000349964,2022-07-28T18:26:00Z,2022-12-16,1,0.495,5.17,25.61,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
eff3ab9a-bb1a-4a92-8b9a-49d5e52bcc6d,BARR_013.basePlot.cfc,D18,BARR,BARR_013,distributed,TN1TQAl40/uSwIilM+BaXzQHgi1JM9mOlXKgXIOfADg=,A00000349312,TN1TQAl40/uSwIilM+BaXzQHgi1JM9mOhp6TPNmw9WA=,A00000350010,2022-07-28T18:55:00Z,2022-12-16,1,0.482,6.74,23.16,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
f7d154f1-7092-423d-9c10-73a6300f8509,BARR_003.basePlot.cfc,D18,BARR,BARR_003,distributed,TN1TQAl40/t7xtGQseCUH/XCJ4qfIg2CpTR6cazlEb0=,A00000349314,TN1TQAl40/t7xtGQseCUH/XCJ4qfIg2CM6t0XvGrEZY=,A00000350072,2022-07-28T20:23:00Z,2022-12-16,1,0.491,2,22.65,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_lignin
