dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,bgcArchiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,bgcArchiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_001,GUAN_001.basePlot.bgc,M,9,197.61666666666667,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_002,GUAN_002.basePlot.bgc,M,9,152.16666666666666,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_003,GUAN_003.basePlot.bgc,M,9,125.86666666666667,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_004,GUAN_004.basePlot.bgc,M,9,129.21666666666667,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_006,GUAN_006.basePlot.bgc,M,9,166.88333333333333,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_007,GUAN_007.basePlot.bgc,M,9,106.71666666666667,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_042,GUAN_042.basePlot.bgc,M,9,125.83333333333333,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_043,GUAN_043.basePlot.bgc,M,9,177.46666666666667,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_048,GUAN_048.basePlot.bgc,M,9,154.8,2019.3333333333333,2019.3333333333333,gram,NA,NA
DP1.10086.001,GUAN,sls_bgcSubsampling,2018-2024,GUAN,GUAN_049,GUAN_049.basePlot.bgc,M,9,178.11666666666667,2019.3333333333333,2019.3333333333333,gram,NA,NA
