uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSamplePrepMethod,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyStatus,canopyPosition,leafSamplePosition,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,previousPolygon,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
8dde1883-71a4-4683-90b5-13b584d7b53d,JORN_001.basePlot.cfc,D14,JORN,JORN_001,distributed,shrubScrub,WGS84,32.60493,-106.802046,20.1,1323.4,0.1,NEON.DOC.001024vJ,2022-08-30T14:48:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30palUinYjroI35or/0tYTJyDDi7eYrKXNCo=,A00000355295,OK,NrWJnEy30palUinYjroI35or/0tYTJyDoSLxzIgr4Njd6WgsR1jYiQ==,B00000111341,NA,OK,NA,NA,NA,NA,NA,NA,Y,02923,NEON.PLA.D14.JORN.02923,ATCA2,Atriplex canescens (Pursh) Nutt.,OK,true canopy,Full sun,NA,0.6,0.8,1,JORN.02923.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0002-5153-9263,NA,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
e27d9f3d-a180-4ebd-9454-460533f6cf61,JORN_002.basePlot.cfc,D14,JORN,JORN_002,distributed,shrubScrub,WGS84,32.611356,-106.826155,20.1,1328.2,0.19,NEON.DOC.001024vJ,2022-08-30T16:07:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pbhSG614nyBEB9N4c0Vg5O9ZHZyOFmTgu8=,A00000355421,OK,NrWJnEy30pbhSG614nyBEB9N4c0Vg5O94TupiZonT6Q=,B00000111342,NA,OK,NA,NA,NA,NA,NA,NA,N,02685,NEON.PLA.D14.JORN.02685,YUEL,Yucca elata (Engelm.) Engelm.,Physically damaged,true canopy,Open grown,NA,0.2,0.4,NA,NA,NA,NA,NA,0000-0002-3695-3837,0000-0002-5153-9263,Herbivory,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
42df7327-3233-4ec8-9250-9778b0735ef6,JORN_002.basePlot.cfc,D14,JORN,JORN_002,distributed,shrubScrub,WGS84,32.611356,-106.826155,20.1,1328.2,0.19,NEON.DOC.001024vJ,2022-08-30T16:20:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pZxH/6PUXNbX3+4Fr+xthrXneVNhnZwdj4=,A00000355293,OK,NrWJnEy30pZxH/6PUXNbX3+4Fr+xthrX4UxA0VsPkb1lQBHqhD4E1g==,B00000111365,NA,OK,NA,NA,NA,NA,NA,NA,Y,02684,NEON.PLA.D14.JORN.02684,PRGL2,Prosopis glandulosa Torr.,Insect damaged,true canopy,Open grown,NA,0.3,0.4,0.5,JORN.02684.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0002-5153-9263,unknown source of insect damage,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
efd7d7f6-f9c2-4ee7-9e03-5a6338b00be8,JORN_003.basePlot.cfc,D14,JORN,JORN_003,distributed,shrubScrub,WGS84,32.600614,-106.838099,20.1,1321.1,0.1,NEON.DOC.001024vJ,2022-08-30T17:40:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pbcpw8EaMiyiL21KUUfPRkilUpAd98doRI=,A00000355278,OK,NrWJnEy30pbcpw8EaMiyiL21KUUfPRki+P+AEgXWUrg=,B00000111343,NA,OK,NA,NA,NA,NA,NA,NA,N,02692,NEON.PLA.D14.JORN.02692,YUEL,Yucca elata (Engelm.) Engelm.,Other damage,true canopy,Open grown,NA,0.5,NA,NA,NA,NA,NA,NA,0000-0002-3695-3837,0000-0002-5153-9263,Unknown damage on half of the individual. Could be drought stress. Potentially disease damage. General yellowing of leaves.,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
267a836e-f9e8-4b7c-9326-1f6bf6a11e63,JORN_009.basePlot.cfc,D14,JORN,JORN_009,distributed,shrubScrub,WGS84,32.611448,-106.83769,20.1,1326.7,0.1,NEON.DOC.001024vJ,2022-08-30T19:00:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pawL8XCla3vZIOvcKUKVHrD4zKRWeMY820=,A00000355358,OK,NrWJnEy30pawL8XCla3vZIOvcKUKVHrDJFZduE5f+NwIMVG750OYog==,B00000111348,NA,OK,NA,NA,NA,NA,NA,NA,Y,02686,NEON.PLA.D14.JORN.02686,PRGL2,Prosopis glandulosa Torr.,Insect damaged,true canopy,Open grown,NA,0.2,0.5,NA,JORN.02686.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0002-5153-9263,Termite,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
3b7fa018-02ff-42d2-a0f4-c2e70ddf5301,JORN_009.basePlot.cfc,D14,JORN,JORN_009,distributed,shrubScrub,WGS84,32.611448,-106.83769,20.1,1326.7,0.1,NEON.DOC.001024vJ,2022-08-30T19:33:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30paXWVwPGNeLA8B3YD6xVqKltNpRdY49Bx0=,A00000355311,OK,NrWJnEy30paXWVwPGNeLA8B3YD6xVqKlcM/jUAPWGVk=,B00000111347,NA,OK,NA,NA,NA,NA,NA,NA,N,02687,NEON.PLA.D14.JORN.02687,YUEL,Yucca elata (Engelm.) Engelm.,Physically damaged,true canopy,Open grown,NA,0.6,0.7,0.8,JORN.02687.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0002-5153-9263,Herbivory,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
5ea1847d-583a-4820-b341-f7aa33d395f0,JORN_007.basePlot.cfc,D14,JORN,JORN_007,distributed,shrubScrub,WGS84,32.607919,-106.856765,20.1,1323.5,0.1,NEON.DOC.001024vJ,2022-08-30T20:21:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pYr4GLSTAZ24x3y7hW+Ma+ewdsKP6PKpFc=,A00000355406,OK,NrWJnEy30pYr4GLSTAZ24x3y7hW+Ma+eWhf23kLY+TL+0z/gcq3Kpw==,B00000111344,NA,OK,NA,NA,NA,NA,NA,NA,Y,02699,NEON.PLA.D14.JORN.02699,PRGL2,Prosopis glandulosa Torr.,Insect damaged,true canopy,Open grown,NA,1.1,1.3,NA,JORN.02699.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0002-5153-9263,Termite,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
ed5ebb93-8749-4bac-a2c5-91f02eefa820,JORN_007.basePlot.cfc,D14,JORN,JORN_007,distributed,shrubScrub,WGS84,32.607919,-106.856765,20.1,1323.5,0.1,NEON.DOC.001024vJ,2022-08-30T20:50:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pboUEQP7+NMQ/sSZisc0ObLCkYZgQ2LnI8=,A00000355263,OK,NrWJnEy30pboUEQP7+NMQ/sSZisc0ObLa59zbVD29Aw=,B00000111352,NA,OK,NA,NA,NA,NA,NA,NA,N,02698,NEON.PLA.D14.JORN.02698,YUEL,Yucca elata (Engelm.) Engelm.,Physically damaged,true canopy,Open grown,NA,0.5,0.2,0.1,NA,NA,NA,NA,0000-0002-3695-3837,0000-0002-5153-9263,Animal den beneath individual.,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
04fb4bde-f0e9-41ed-8066-c0b3ac6c496c,JORN_015.basePlot.cfc,D14,JORN,JORN_015,distributed,shrubScrub,WGS84,32.610623,-106.856854,20.2,1321.7,0.24,NEON.DOC.001024vJ,2022-08-30T21:22:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30paqsnCyxogov8Jgd9dDllR/1dNTGPMeIfU=,A00000355390,OK,NrWJnEy30paqsnCyxogov8Jgd9dDllR/aQlG1DOJpxM=,B00000111359,NA,OK,NA,NA,NA,NA,NA,NA,N,04222,NEON.PLA.D14.JORN.04222,EPTR,Ephedra trifurca Torr. ex S. Watson,Insect damaged,true canopy,Open grown,NA,0.2,0.5,0.8,JORN.04222.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0002-5153-9263,Termite,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
f92458e9-adf1-404a-af06-6af0a5fbdd42,JORN_005.basePlot.cfc,D14,JORN,JORN_005,distributed,shrubScrub,WGS84,32.575696,-106.803388,20.1,1323.5,0.1,NEON.DOC.001024vJ,2022-08-31T14:13:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pYb69Uqz+Q+XFrify8aWS3n86F9QQ1DrSk=,A00000355277,OK,NrWJnEy30pYb69Uqz+Q+XFrify8aWS3nuC6HMgR7P2X3062Z7UftfQ==,B00000111364,NA,OK,NA,NA,NA,NA,NA,NA,N,02595,NEON.PLA.D14.JORN.02595,PRGL2,Prosopis glandulosa Torr.,OK,true canopy,Full sun,NA,0.6,0.7,NA,JORN.02595.2022,medium,NA,JORN-2022-polygons,0000-0002-0596-3792,0000-0002-5153-9263,NA,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
ae81aa23-88f0-49cf-ac83-2b968afe117c,JORN_005.basePlot.cfc,D14,JORN,JORN_005,distributed,shrubScrub,WGS84,32.575696,-106.803388,20.1,1323.5,0.1,NEON.DOC.001024vJ,2022-08-31T15:07:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pZbEqIOrdFqU3hpVVpRVC/cLAkrOYUNDH8=,A00000355310,OK,NrWJnEy30pZbEqIOrdFqU3hpVVpRVC/cwFzNvxWIWP4=,B00000111351,NA,OK,NA,NA,NA,NA,NA,NA,unknown,02597,NEON.PLA.D14.JORN.02597,YUEL,Yucca elata (Engelm.) Engelm.,OK,true canopy,Open grown,NA,0.4,0.4,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0002-5153-9263,NA,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
535b3302-13ef-401f-b2e9-8a289a62cefc,JORN_045.basePlot.cfc,D14,JORN,JORN_045,tower,shrubScrub,WGS84,32.592144,-106.84334,20.1,1321.9,0.1,NEON.DOC.001024vJ,2022-08-31T16:16:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pb8qHZiI2Blmkt8/Lll4XzfBJEWHkhKRZY=,A00000355389,OK,NrWJnEy30pb8qHZiI2Blmkt8/Lll4Xzff7d67b73nGg=,B00000111349,NA,OK,NA,NA,NA,NA,NA,NA,Y,00020,NEON.PLA.D14.JORN.00020,EPTR,Ephedra trifurca Torr. ex S. Watson,OK,true canopy,Open grown,NA,0.9,0.9,0.8,JORN.00020.2022,low,NA,JORN-2022-polygons,0000-0002-0596-3792,0000-0002-5153-9263,NA,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
d9c30291-b0d5-4281-8238-0cc235da1813,JORN_045.basePlot.cfc,D14,JORN,JORN_045,tower,shrubScrub,WGS84,32.592144,-106.84334,20.1,1321.9,0.1,NEON.DOC.001024vJ,2022-08-31T16:40:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pb8qHZiI2Blmkvv9VPtED64D/qFMsCgrR8=,A00000355373,OK,NrWJnEy30pb8qHZiI2Blmkvv9VPtED64pb+4+5koRek=,B00000111353,NA,OK,NA,NA,NA,NA,NA,NA,Y,00018,NEON.PLA.D14.JORN.00018,EPTR,Ephedra trifurca Torr. ex S. Watson,OK,true canopy,Full sun,NA,0.3,0.3,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0002-5153-9263,NA,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
c2f7d8ac-7add-41c9-a2d3-272cdbf33d76,JORN_045.basePlot.cfc,D14,JORN,JORN_045,tower,shrubScrub,WGS84,32.592144,-106.84334,20.1,1321.9,0.1,NEON.DOC.001024vJ,2022-08-31T17:03:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pb8qHZiI2BlmhF2EpXPDxpIakGejVSm414=,A00000355375,OK,NrWJnEy30pb8qHZiI2BlmhF2EpXPDxpI3CxHrOrCNj4=,B00000111356,NA,OK,NA,NA,NA,NA,NA,NA,Y,00019,NEON.PLA.D14.JORN.00019,EPTR,Ephedra trifurca Torr. ex S. Watson,OK,true canopy,Full sun,NA,0.3,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0002-5153-9263,NA,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
18ba5a07-2881-4eed-9e51-554a2a789a6c,JORN_017.basePlot.cfc,D14,JORN,JORN_017,distributed,shrubScrub,WGS84,32.60857,-106.850086,20.1,1321.1,0.19,NEON.DOC.001024vJ,2022-08-31T18:28:00Z,2022-09-04,OK,NA,Woody individual,clippers,NrWJnEy30pYntBfYtB0m5PN615af2/UTw/6wLPz+eTk=,A00000355359,OK,NrWJnEy30pYntBfYtB0m5PN615af2/UTQ7KihJwol5M=,B00000111357,NA,OK,NA,NA,NA,NA,NA,NA,Y,02708,NEON.PLA.D14.JORN.02708,EPTR,Ephedra trifurca Torr. ex S. Watson,Insect damaged,true canopy,Full sun,NA,1.1,0.9,0.8,JORN.02708.2022,medium,NA,JORN-2022-polygons,0000-0002-0596-3792,0000-0002-5153-9263,NA,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
