uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9008480c-dbbf-44ee-bde7-4709a8fcd330,DELA_040.basePlot.cfc,D08,DELA,DELA_040,tower,Nc+HNMhlqfuEyRxypRJayAmYu8zBVJ+oNH4do/ab9eQ=,A00000081983,Nc+HNMhlqfuEyRxypRJayAmYu8zBVJ+ohRr6VsdkClA=,A00000083314,2019-04-29T16:32:00Z,2019-08-07,1,0.206,25,0.19,1.027,0.397,0.135,0.125,435.5,71.3,6.3,14,24.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
e9d0800a-abbe-4ba2-ac5d-1db0102318ad,DELA_044.basePlot.cfc,D08,DELA,DELA_044,tower,Nc+HNMhlqfuJihW7TqzFUCDtDVowxajkByIISbZDOvQ=,A00000081984,Nc+HNMhlqfuJihW7TqzFUCDtDVowxajkd0YW5f7evXf/vquL/mTHsg==,A00000083332,2019-04-29T17:57:00Z,2019-08-07,1,0.194,25,0.238,1.1,0.808,0.296,0.208,1247,156.1,8,23.8,93.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
193de9ae-ce7a-46f3-8596-b73b2c08e44d,DELA_044.basePlot.cfc,D08,DELA,DELA_044,tower,Nc+HNMhlqfuVmfWG3sJo/4ChTahclVRNUzx1tzVVPYE=,A00000081985,Nc+HNMhlqfuVmfWG3sJo/4ChTahclVRNGEfP1v4pzYw=,A00000083312,2019-04-29T18:42:00Z,2019-08-07,1,0.201,25,0.194,0.859,0.478,0.175,0.149,719.3,104.8,6.5,13.7,14,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
ab436775-ac81-4fab-8596-1331f9d36da2,DELA_044.basePlot.cfc,D08,DELA,DELA_044,tower,Nc+HNMhlqfvvm02IDN9uY7o3BXor7ncY17ih6H4WN/A=,A00000081986,Nc+HNMhlqfvvm02IDN9uY7o3BXor7ncY4e8u5RmR6ObNaPDuFx/STA==,A00000082795,2019-04-29T19:05:00Z,2019-08-07,1,0.198,25,0.16,1.117,0.815,0.296,0.167,1802,190.8,9.1,23.4,20.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
f1f58b28-1eee-483f-954e-dec2c93feefb,DELA_044.basePlot.cfc,D08,DELA,DELA_044,tower,Nc+HNMhlqfs1i/4qlXddoIwx0Sl7TKmuHt+F0flBpZ0=,A00000081988,Nc+HNMhlqfs1i/4qlXddoIwx0Sl7TKmuGOMsJoyalq4=,A00000083327,2019-04-29T19:37:00Z,2019-08-07,1,0.205,25,0.323,1.706,2.682,0.562,0.204,126.1,75.5,13.5,21.5,18.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
bc1a61c4-0e44-4ebc-a1b0-03c0605d1a8f,DELA_051.basePlot.cfc,D08,DELA,DELA_051,tower,Nc+HNMhlqfsgqmncHxB7bZrNuQB+zWH5d3l+E9EKhLs=,A00000081987,Nc+HNMhlqfsgqmncHxB7bZrNuQB+zWH5o/K6zSa9Od1UiPHN8avoLQ==,A00000083308,2019-04-30T12:58:00Z,2019-08-07,1,0.203,25,0.235,0.747,0.696,0.257,0.188,867.6,322,7.8,10.4,38.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
b5a67a10-1261-4bc1-b7d1-87a7beeaba7e,DELA_051.basePlot.cfc,D08,DELA,DELA_051,tower,Nc+HNMhlqftTP2hiDURzlCzZjTts3M4XCoJkHcCKEeY=,A00000081989,Nc+HNMhlqftTP2hiDURzlCzZjTts3M4XVe5MqC3/I9U=,A00000083326,2019-04-30T13:56:00Z,2019-08-07,1,0.201,25,0.439,1.885,0.894,0.28,0.21,247.1,451.4,7.7,31.3,19.4,OK,OK,OK,OK,OK,OK,sample value outlier - soil contamination,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
410df0bf-8f7e-4d20-af4e-9050319a791c,DELA_051.basePlot.cfc,D08,DELA,DELA_051,tower,Nc+HNMhlqfvifAHEy8/dwXzlq8H4ORqGf/xWgxmPPxo=,A00000081993,Nc+HNMhlqfvifAHEy8/dwXzlq8H4ORqG8LSnzUo/6nc=,A00000082848,2019-04-30T14:17:00Z,2019-08-07,1,0.197,25,0.157,0.839,0.505,0.213,0.124,501.5,394.5,7,9.9,30.4,OK,OK,OK,OK,OK,OK,sample value outlier - soil contamination,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
c95118ac-890a-4d86-b6fb-def4b751300e,DELA_051.basePlot.cfc,D08,DELA,DELA_051,tower,Nc+HNMhlqfvifAHEy8/dwbbDBXevPhlFUTmxRWfid+4=,A00000081996,Nc+HNMhlqfvifAHEy8/dwbbDBXevPhlFCATxjsaO7vw=,A00000082881,2019-04-30T15:18:00Z,2019-08-07,1,0.203,25,0.239,1.135,0.31,0.166,0.154,509,179.1,9.3,10.8,34.2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
49db5a36-2331-4b64-a246-8906201ce03a,DELA_051.basePlot.cfc,D08,DELA,DELA_051,tower,Nc+HNMhlqfsb94WmMdNuWIImKxZb8nNw+myuSQtbBHY=,A00000081997,Nc+HNMhlqfsb94WmMdNuWIImKxZb8nNwtbdVg8IiChY=,A00000082790,2019-04-30T15:41:00Z,2019-08-07,1,0.195,25,0.403,1.644,0.452,0.225,0.248,44,207,43.6,13.1,30.4,OK,OK,OK,OK,OK,OK,OK,sample value outlier,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T154256Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
3b34468a-2403-4775-a5ca-3f251eee5e14,DELA_003.basePlot.cfc,D08,DELA,DELA_003,distributed,Nc+HNMhlqfspUx960THudsGJhzNp9lTyEGxDapF/DCU=,A00000081998,Nc+HNMhlqfspUx960THudsGJhzNp9lTyEfIOZnj9CAo=,A00000082861,2019-05-06T15:21:00Z,2019-08-07,1,0.205,25,0.347,1.78,0.772,0.231,0.271,56.3,74.7,44.8,16.3,22.5,OK,OK,OK,OK,OK,OK,OK,sample value outlier,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,NA,20260106T160334Z,RELEASE-2026,DP1.10026.001,DELA,2019,cfc_elements
