uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSamplePrepMethod,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyStatus,canopyPosition,leafSamplePosition,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,previousPolygon,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
47368662-9408-41d5-baaa-24d4c44314af,SCBI_046.basePlot.cfc,D02,SCBI,SCBI_046,tower,deciduousForest,WGS84,38.893837,-78.140769,20.2,349.2,0.23,NEON.DOC.001024vJ,2022-05-18T14:08:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1/YQm+ufQnCgcPgYkXNSRP5RPx8T9P2CiY=,A00000168655,OK,HvxvVDlCk1/YQm+ufQnCgcPgYkXNSRP5cYpqNzcB9AhcvMHBRkvnGA==,B00000138079,NA,OK,NA,NA,NA,NA,NA,NA,Y,02653,NEON.PLA.D02.SCBI.02653,CAOV3,Carya ovalis (Wangenh.) Sarg.,Leaves not fully expanded,true canopy,Full sun,NA,27.2,NA,NA,SCBI.02653.2022,medium,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-6053-9222,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
5ea79f69-5e6f-43c6-bc70-1be22bfecec9,SCBI_046.basePlot.cfc,D02,SCBI,SCBI_046,tower,deciduousForest,WGS84,38.893837,-78.140769,20.2,349.2,0.23,NEON.DOC.001024vJ,2022-05-18T14:19:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1/C3o5PIvzPtNTFydwRv8Lhup5ofa/TTyM=,A00000168641,OK,HvxvVDlCk1/C3o5PIvzPtNTFydwRv8Lh0UVU6tkYZ3UPG8m4gsPQUA==,B00000138071,NA,OK,NA,NA,NA,NA,NA,NA,Y,02599,NEON.PLA.D02.SCBI.02599,QUMO4,Quercus montana Willd.,Leaves not fully expanded,true canopy,Full sun,NA,25.4,NA,NA,SCBI.02599.2022,medium,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-6053-9222,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
e84e2853-e70d-48af-9c1a-244d80cfe006,SCBI_046.basePlot.cfc,D02,SCBI,SCBI_046,tower,deciduousForest,WGS84,38.893837,-78.140769,20.2,349.2,0.23,NEON.DOC.001024vJ,2022-05-18T14:28:00Z,2022-05-30,OK,NA,Woody individual,UAS,HvxvVDlCk1/VM9exZ9S2kcRykFscn9Zj5QtyPV9G+g0=,A00000168646,OK,HvxvVDlCk1/VM9exZ9S2kcRykFscn9ZjOfoCg0ZkBd4=,B00000138086,NA,OK,NA,NA,NA,NA,NA,NA,Y,02594,NEON.PLA.D02.SCBI.02594,NYSY,Nyssa sylvatica Marshall,Leaves not fully expanded,true canopy,Partially shaded,NA,23.7,NA,NA,SCBI.02594.2022,medium,NA,SCBI-2022-polygons,0000-0003-1337-5330,0000-0002-6053-9222,NA,NA,20260106T155634Z,RELEASE-2026,DP1.10026.001,SCBI,2022,cfc_fieldData
