dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,ligninPercent_mean_2018_2024,cellulosePercent_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,ligninPercent_mean_2018_2024_unit,cellulosePercent_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_002,YELL_002.basePlot.cfc,distributed,fNVWi/NGi2ivNEbQHX8tPJ5EDfKiibWx4MUrDYYi9yk=,A00000114961,1,1,0.469,8.99,13.72,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_003,YELL_003.basePlot.cfc,distributed,fNVWi/NGi2gYEIEkiO1fkInJ3jEB+vmf37pS1kyJZpE=,A00000114945,1,1,0.485,8.6,16.04,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_004,YELL_004.basePlot.cfc,distributed,fNVWi/NGi2gmQ0TwEMDzWwt/qPwaI2ry/pBVtQLi2Dg=,A00000380674,1,1,0.473,6.91,13.71,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_004,YELL_004.basePlot.cfc,distributed,fNVWi/NGi2iut4prg+fvF/l0UtU7MvrpO47L2zWMrgs=,A00000380687,1,1,0.476,5.53,28.45,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_005,YELL_005.basePlot.cfc,distributed,fNVWi/NGi2gcOAp7tP04SqjQqoNiT8C1JX758/CNZLk=,A00000380695,1,1,0.497,6.92,14.47,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_005,YELL_005.basePlot.cfc,distributed,fNVWi/NGi2gcOAp7tP04SuRxX93pnvR/25b/Pzm5kBA=,B00000038601,1,1,0.481,11.01,18.19,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,fNVWi/NGi2iAZhABwkppr5PqwZwf86KbPfVFydj3rVA=,A00000380678,1,1,0.497,9.96,14.01,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,fNVWi/NGi2iAZhABwkpprxYCXrUajpHr5mgH+j6BEhI=,A00000117102,1,1,0.494,20.96,16.11,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,fNVWi/NGi2ihlJjexJq80EdgCuGlSdGNA8mkC8wilLI=,A00000380675,1,1,0.488,7.93,13.38,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,fNVWi/NGi2j2HApBFpp6H2BYrGIwNzL9LhIIjE/s8ok=,A00000380677,1,1,0.467,9.14,13.1,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,fNVWi/NGi2jFLy3DgzoUB1Th+bwBVSoVlvWDbxT71cQ=,A00000380676,1,1,0.477,2.23,18.59,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_007,YELL_007.basePlot.cfc,distributed,fNVWi/NGi2guGOVoVb+wXVy4SXVVDhelYiZJThTDqiE=,A00000380672,1,1,0.471,4.17,20.52,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_007,YELL_007.basePlot.cfc,distributed,fNVWi/NGi2hLhzXTQNRKEpLg1RlPlrqeUVElFeOVG80=,A00000380700,1,1,0.46,11.4,18.04,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_007,YELL_007.basePlot.cfc,distributed,fNVWi/NGi2jhtsZJeHskn1E4cmFRckcPkGxmmvkzT4Q=,A00000117129,1,1,0.459,21.55,15.69,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_007,YELL_007.basePlot.cfc,distributed,fNVWi/NGi2jhtsZJeHskn7/kSMqPvPm8JAGmZBeEVy4=,A00000380699,1,1,0.478,10.39,14.1,2023,2023,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_009,YELL_009.basePlot.cfc,distributed,fNVWi/NGi2gVt08lHK1CrXAPQ9vOhEpwUPqTRU2VJOM=,A00000114974,1,1,0.49,11.62,16.38,2020,2020,number,gram,percent,percent,NA,NA
DP1.10026.001,YELL,cfc_lignin,"2020,2023",YELL,YELL_009,YELL_009.basePlot.cfc,distributed,fNVWi/NGi2gVt08lHK1CrZ9CAvT6QK8kH8aOykAr0Wg=,A00000380681,1,1,0.477,9.88,19.24,2023,2023,number,gram,percent,percent,NA,NA
