dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,bgcArchiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,bgcArchiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_003,SCBI_003.basePlot.bgc,M,3,167.63333333333333,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_004,SCBI_004.basePlot.bgc,M,3,207.66666666666666,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_005,SCBI_005.basePlot.bgc,M,3,213.66666666666666,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_006,SCBI_006.basePlot.bgc,M,3,229.16666666666666,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_008,SCBI_008.basePlot.bgc,M,3,197.76666666666665,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_010,SCBI_010.basePlot.bgc,M,3,166.53333333333333,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_045,SCBI_045.basePlot.bgc,M,3,174.6,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_047,SCBI_047.basePlot.bgc,M,3,196.96666666666667,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_049,SCBI_049.basePlot.bgc,M,3,192.36666666666667,2022,2022,gram,NA,NA
DP1.10086.001,SCBI,sls_bgcSubsampling,2018-2024,SCBI,SCBI_067,SCBI_067.basePlot.bgc,M,3,144.73333333333335,2022,2022,gram,NA,NA
