table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName,dpID,site,year
ntr_externalLab,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,siteID,NEON site code,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,plotID,Plot identifier (NEON site code_XXX),string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,startDate,The start date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,collectDate,Date of the collection event,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,sampleID,Identifier for sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,sampleCode,Barcode of a sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,kclSampleID,Identifier for a potassium chloride (KCl) extract sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
ntr_externalLab,kclSampleCode,Barcode of a potassium chloride (KCl) extract sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
ntr_externalLab,sampleCondition,Condition of a sample,string,NA,basic,LOV,N,ntr.labSampleCondition,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNAnalysisDate,Date an ammonium sample was analyzed,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,kclAmmoniumNConc,Concentration of ammonium N in a potassium chloride extract,real,milligramsPerLiter,basic,*.###(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNRepNum,Analytical replicate number for ammonium sample,unsigned integer,number,basic,integer,Y,NA,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNQF,Quality flag for ammonium N values,string,NA,basic,LOV,N,ntr.ammoniumNQF,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNRemarks,Free text comments accompanying the ammonium record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNAnalysisDate,Date a nitrate + nitrite N sample was analyzed,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,kclNitrateNitriteNConc,Concentration of nitrate + nitrite N in a potassium chloride extract,real,milligramsPerLiter,basic,*.###(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNRepNum,Analytical replicate number for nitrate + nitrite N sample,unsigned integer,number,basic,integer,Y,NA,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNQF,Quality flag for nitrate + nitrite N values,string,NA,basic,LOV,N,ntr.nitrateNitriteNQF,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNRemarks,Free text comments accompanying the nitrate + nitrite N record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNMethod,Method used to test sample for ammonium N concentration,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNInstrument,Type of instrument used for ammonium analysis,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNAnalyzedBy,Name of lab personnel analyzing sample for ammonium N,string,NA,basic,obfuscate,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,ammoniumNReviewedBy,Name of lab personnel who reviewed ammonium N data prior to submission,string,NA,basic,obfuscate,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNMethod,Method used to test sample for nitrate + nitrite N concentration,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNInstrument,Type of instrument used for nitrate + nitrite N analysis,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNAnalyzedBy,Name of lab personnel analyzing sample for nitrate + nitrite N,string,NA,basic,obfuscate,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,nitrateNitriteNReviewedBy,Name of lab personnel who reviewed nitrite + nitrate N data prior to submission,string,NA,basic,obfuscate,N,NA,DP1.10086.001,HARV,2019
ntr_externalLab,dataQF,Data quality flag,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,analyte,Analyte or parameter measured,string,NA,expanded,LOV,Y,ntr.analyte,DP1.10086.001,HARV,2019
ntr_externalSummary,analyteUnits,Associated units of measure for analyte,string,NA,expanded,LOV,N,ntr.analyteUnits,DP1.10086.001,HARV,2019
ntr_externalSummary,sampleType,Type of sample,string,NA,expanded,LOV,Y,ntr.sampleType,DP1.10086.001,HARV,2019
ntr_externalSummary,qaReferenceID,Identifier for quality assurance reference material or standard,string,NA,expanded,asIs,Y,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,lotID,Lot or batch number for quality assurance material,string,NA,expanded,asIs,N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,analyteKnownValue,"The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte",real,NA,expanded,*.##(round),Y,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,analyteObservedValue,"The measured value of a given analyte for a standard reference material, with units tied to the analyte",real,NA,expanded,*.##(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,analytePercentRecovery,"Percent recovery of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns",real,percent,expanded,*.#(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,analyteStandardDeviation,"Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns",real,NA,expanded,*.###(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,methodDetectionLimit,Detection limit for method used,real,NA,expanded,*.##(round),N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,analyteMetricsCount,Count of how many measurements were used to determine analyte metrics,unsigned integer,number,expanded,integer,N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,qaReportingStartDate,Start date for the quality assurance (QA) reporting period,dateTime,NA,expanded,yyyy-MM-dd(floor),Y,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,qaReportingEndDate,End date for the quality assurance (QA) reporting period,dateTime,NA,expanded,yyyy-MM-dd(floor),N,NA,DP1.10086.001,HARV,2019
ntr_externalSummary,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,expanded,asIs,Y,NA,DP1.10086.001,HARV,2019
