dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,bgcArchiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,bgcArchiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_001,SJER_001.basePlot.bgc,M,6,204.26666666666668,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_002,SJER_002.basePlot.bgc,M,6,156.5,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_003,SJER_003.basePlot.bgc,M,6,191.26666666666665,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_004,SJER_004.basePlot.bgc,M,6,207.2,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_005,SJER_005.basePlot.bgc,M,6,182.53333333333333,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_025,SJER_025.basePlot.bgc,M,6,152.86666666666667,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_045,SJER_045.basePlot.bgc,M,6,173.36666666666667,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_046,SJER_046.basePlot.bgc,M,6,189.9,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_047,SJER_047.basePlot.bgc,M,6,193.13333333333333,2021.5,2021.5,gram,NA,NA
DP1.10086.001,SJER,sls_bgcSubsampling,2018-2024,SJER,SJER_048,SJER_048.basePlot.bgc,M,6,145.93333333333334,2021.5,2021.5,gram,NA,NA
