dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,horizon,sampleTopDepth,sampleBottomDepth,sampleExtent,n_raw_records,coreCoordinateX_mean_2018_2024,coreCoordinateY_mean_2018_2024,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,standingWaterDepth_mean_2018_2024,soilTemp_mean_2018_2024,litterDepth_mean_2018_2024,soilCoreCount_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,coreCoordinateX_mean_2018_2024_unit,coreCoordinateY_mean_2018_2024_unit,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,standingWaterDepth_mean_2018_2024_unit,soilTemp_mean_2018_2024_unit,litterDepth_mean_2018_2024_unit,soilCoreCount_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,15.6,obstruction,2,5,6.75,40.042345,-105.558975,20.1,3213.5,0.11,0,10.8,4.25,1.5,2023,2023,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,16.5,obstruction,1,39.5,14.5,40.042345,-105.558975,20.1,3213.5,0.11,0,NA,1,3,2023,2023,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,17,obstruction,1,30,27.5,40.042345,-105.558975,20.1,3213.5,0.11,0,15.6,2.5,2,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,19,obstruction,2,5.5,2.25,40.042345,-105.558975,20.1,3213.5,0.11,0,10.95,0.85,3,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,0,20,obstruction,1,27.5,34,40.042345,-105.558975,20.1,3213.5,0.11,0,8.8,1.8,2,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,2.6,16.4,obstruction,1,7.5,4,40.042345,-105.558975,20.1,3213.5,0.11,0,7.1,0.5,2,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,3,10,obstruction,1,28,9,40.042345,-105.558975,20.1,3213.5,0.11,0,10.3,2,3,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,3,12.5,obstruction,1,0.5,24.5,40.042345,-105.558975,20.1,3213.5,0.11,0,13.4,2.5,NA,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,3,17.3,obstruction,1,6,6,40.042345,-105.558975,20.1,3213.5,0.11,0,8.4,1.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,3.2,14.8,obstruction,1,6.5,28.5,40.042345,-105.558975,20.1,3213.5,0.11,0,5.4,3,2,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,3.7,18.8,obstruction,1,20,31,40.042345,-105.558975,20.1,3213.5,0.11,0,3.6,3,3,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,3.9,15,obstruction,1,31.5,21,40.042345,-105.558975,20.1,3213.5,0.11,0,8.3,3,1,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,3.9,16.8,obstruction,1,0.5,24.5,40.042345,-105.558975,20.1,3213.5,0.11,0,14.4,3,2,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,M,4.5,12.5,obstruction,1,10,39.5,40.042345,-105.558975,20.1,3213.5,0.11,0,6.3,2,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
