uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
ad78d9dd-f033-4e82-a366-b659e6f36605,BARR_006.basePlot.cfc,D18,BARR,BARR_006,distributed,TN1TQAl40/vs6dka0vUsZZjqrIbY6rR7ov13X+8d2xU=,A00000349345,TN1TQAl40/vs6dka0vUsZZjqrIbY6rR7aedKPMWSTvg=,A00000349900,2022-07-26T20:14:00Z,2022-11-18,N,1.1,-28,1.37,47.89,35.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
e570de9a-d3dc-4470-adf0-4319f4a9680b,BARR_021.basePlot.cfc,D18,BARR,BARR_021,distributed,TN1TQAl40/s7xeUhBKt6OhkNFhetsQidMDYwQw/jEV8=,A00000349374,TN1TQAl40/s7xeUhBKt6OhkNFhetsQidQy7atH2aasA=,A00000350044,2022-07-27T17:26:00Z,2022-11-18,N,2.1,-29.6,2.98,47.89,16.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
3174f105-c38e-41e6-8745-c38a46c1b337,BARR_015.basePlot.cfc,D18,BARR,BARR_015,distributed,TN1TQAl40/sB+d9UYqY0n5SzmRzSg575JKl84e9jPnc=,A00000349341,TN1TQAl40/sB+d9UYqY0n5SzmRzSg575pmcmCs77Fco=,A00000349971,2022-07-27T18:06:00Z,2022-11-18,N,0.2,-29.9,2.48,48.69,19.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
78106a2b-a3ec-4945-a8a8-0775eadfd961,BARR_008.basePlot.cfc,D18,BARR,BARR_008,distributed,TN1TQAl40/t5vglrnm9Mr62329N+eC4tlnqcjAJMAgo=,A00000349327,TN1TQAl40/t5vglrnm9Mr62329N+eC4tHFiIFz2XM/o=,A00000349972,2022-07-27T18:37:00Z,2022-11-18,N,0.2,-27,1.34,49.19,36.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
31f74307-b6b8-4622-8936-90d329df93da,BARR_024.basePlot.cfc,D18,BARR,BARR_024,distributed,TN1TQAl40/tuav5tsd9+KHxJ7HPMNOn6YWTozWOxLzU=,A00000349377,TN1TQAl40/tuav5tsd9+KHxJ7HPMNOn6/+RlCJA18Ac=,A00000349992,2022-07-27T18:48:00Z,2022-11-18,N,0,-29.9,2.6,48.39,18.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
3d27c8f6-af95-4404-aa51-a89ff36e6477,BARR_011.basePlot.cfc,D18,BARR,BARR_011,distributed,TN1TQAl40/tyHYgMn9YmcP1hNBO6LEG9+ptMMnWyb24=,A00000349330,TN1TQAl40/tyHYgMn9YmcP1hNBO6LEG9dKRXpdGpCKI=,A00000350040,2022-07-27T19:35:00Z,2022-11-18,N,0.3,-31.2,2.84,48.34,17,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
0bb2f20f-4ecb-4cab-a35b-7c4101792578,BARR_014.basePlot.cfc,D18,BARR,BARR_014,distributed,TN1TQAl40/vkUREDaN0DgbD1lpx6G23xHj3RFKwcoA0=,A00000349359,TN1TQAl40/vkUREDaN0DgbD1lpx6G23xts1637pe0Qk=,A00000349968,2022-07-27T21:02:00Z,2022-11-18,N,0.6,-29.5,3.05,48.42,15.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
9d9bb685-02a5-407e-8db4-5ba7fa13303f,BARR_002.basePlot.cfc,D18,BARR,BARR_002,distributed,TN1TQAl40/vqyPfKxP0qWrPjgXK1s71DDOrOHpicakU=,A00000349362,TN1TQAl40/vqyPfKxP0qWrPjgXK1s71DeIBZAnlFYLI=,A00000350029,2022-07-28T18:15:00Z,2022-11-18,N,1.3,-29.8,2.71,48.63,17.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
c91a4596-9769-4a48-a242-065f534438c8,BARR_007.basePlot.cfc,D18,BARR,BARR_007,distributed,TN1TQAl40/uovFJwr6HcovMNF59+jaORcyfSa7CIuxQ=,A00000349331,TN1TQAl40/uovFJwr6HcovMNF59+jaORZN6Pj4989A8=,A00000349962,2022-07-28T18:26:00Z,2022-11-18,N,0.8,-28.8,2.15,48.31,22.5,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
4193b2ba-7402-4222-ac13-10a528c0088c,BARR_013.basePlot.cfc,D18,BARR,BARR_013,distributed,TN1TQAl40/uSwIilM+BaXzQHgi1JM9mOlXKgXIOfADg=,A00000349312,TN1TQAl40/uSwIilM+BaXzQHgi1JM9mOk866WkbRTgs=,A00000350041,2022-07-28T18:55:00Z,2022-11-18,N,2.2,-29.3,2.03,48.65,24,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
40813d4c-6c4d-4c4a-b1e0-9de6b7e36ebc,BARR_003.basePlot.cfc,D18,BARR,BARR_003,distributed,TN1TQAl40/t7xtGQseCUH/XCJ4qfIg2CpTR6cazlEb0=,A00000349314,TN1TQAl40/t7xtGQseCUH/XCJ4qfIg2CuybZQvMSVuU=,A00000350025,2022-07-28T20:23:00Z,2022-11-18,N,4.9,-28.9,3.78,47.37,12.5,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160122Z,RELEASE-2026,DP1.10026.001,BARR,2022,cfc_carbonNitrogen
