dpID,site,table,years_available_averaged,siteID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,freshMass_mean_2018_2024,dryMass_mean_2018_2024,scannedLeafNumber_mean_2018_2024,leafArea_mean_2018_2024,percentGreen_mean_2018_2024,leafMassPerArea_mean_2018_2024,dryMassFraction_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,freshMass_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,scannedLeafNumber_mean_2018_2024_unit,leafArea_mean_2018_2024_unit,percentGreen_mean_2018_2024_unit,leafMassPerArea_mean_2018_2024_unit,dryMassFraction_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_048.basePlot.cfc,distributed,AU8RPrEDsn5g9eTKRHaKtPOG3TRkGnUV/K2PUIvBchY=,A00000316469,1,4.285,2.318,36,16227.9,100,142.8,0.541,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_048.basePlot.cfc,distributed,AU8RPrEDsn5ug/BvKaKH1g1U/BRTfr+VpiDizBVQrpo=,A00000131810,1,3.199,1.347,72,14118.6,100,95.4,0.421,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_048.basePlot.cfc,distributed,AU8RPrEDsn74k1T3feE0bvOjsMQEGJKwdxi1jpQVmkY=,A00000316470,1,0.846,0.419,96,5029.9,100,83.3,0.495,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_063.basePlot.cfc,distributed,AU8RPrEDsn5jo51gQ3kkmOglBPPtwym/JufW9BDQ44s=,A00000316448,1,4.993,1.962,8,22975.2,95,85.4,0.393,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_066.basePlot.cfc,distributed,AU8RPrEDsn50R52pNJRHHRHvvstiG2WAGdaXAlVFvCA=,A00000131811,1,2.682,1.126,5,16381.9,100,68.7,0.42,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_066.basePlot.cfc,distributed,AU8RPrEDsn5SphGvWhg5Y5/DBlYEaXnpxrMppvs7ZSI=,A00000316472,1,5.222,2.678,31,18835.3,100,142.2,0.513,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_068.basePlot.cfc,distributed,AU8RPrEDsn60xQUmx/GxuDyen9z8ytgruF2FzeHp/4A=,A00000316473,1,4.951,2.172,5,25232.6,100,86.1,0.439,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_068.basePlot.cfc,distributed,AU8RPrEDsn65KCQPEBVKGe8ON4bCBRkE+0zEG8jAXn8=,A00000316412,1,230.599,104.036,1,327259.4,100,317.9,0.451,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_068.basePlot.cfc,distributed,AU8RPrEDsn7DoaREyPruzgGjywNvdDRyxdqw59R7YmI=,A00000316474,1,6.995,3.193,30,10940.9,100,291.8,0.457,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_073.basePlot.cfc,distributed,AU8RPrEDsn5O/Lf5i2O9ceU64LI8M+eUbJqyLg9WfCw=,A00000316407,1,2.738,1.219,123,5883,100,207.2,0.445,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_073.basePlot.cfc,distributed,AU8RPrEDsn6ZJTmXxWMbAEAadCo6+liA0608NYXnfOs=,A00000316475,1,6.482,3.662,31,21917.3,100,167.1,0.565,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_073.basePlot.cfc,distributed,AU8RPrEDsn7RA2wYSbh1W25++WHcDvT2gXGQMJFcwSE=,A00000316410,1,0.343,0.168,100,1100.6,100,152.6,0.49,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
