dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,d15N_mean_2018_2024,d13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,carbonPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,d13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,carbonPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_002,PUUM_002.basePlot.cfc,distributed,5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=,A00000066452,4,-9.9,-28.3,0.47,52.91,NA,1.5,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_002,PUUM_002.basePlot.cfc,distributed,5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=,NA,2,-10.6,-27.2,0.45,54.16,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_002,PUUM_002.basePlot.cfc,distributed,5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=,A00000066454,2,-10.2,-27.9,0.42,53.17,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_004,PUUM_004.basePlot.cfc,distributed,5DDwl49GZC0a7Ogbd29ik185KlceSA5a5P/dfzp/x4Y=,A00000066428,2,-8.4,-26.4,1.22,46.88,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_004,PUUM_004.basePlot.cfc,distributed,5DDwl49GZC2ZHSjqmHJACCnDH7Od5lkKL/JkluU9AM4=,A00000066451,2,-9.9,-29.5,0.58,51.15,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_013,PUUM_013.basePlot.cfc,distributed,5DDwl49GZC1IWMFlibF2J+PCCppoF6Khc+viSeTiJfQ=,A00000066435,2,-9.9,-26,0.43,52.61,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_013,PUUM_013.basePlot.cfc,distributed,5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=,A00000066425,2,-8.4,-27.8,0.53,53.03,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_013,PUUM_013.basePlot.cfc,distributed,5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdYQRX/sX1dJA=,A00000066429,2,-8.5,-28.1,0.45,53.16,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_015,PUUM_015.basePlot.cfc,distributed,5DDwl49GZC0v9RFpGRmIUPlLH4n4xHTTLwX+10XNisI=,A00000066442,2,-9.1,-29.3,0.68,51.76,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,PUUM,cfc_carbonNitrogen,2019,PUUM,PUUM_015,PUUM_015.basePlot.cfc,distributed,5DDwl49GZC1uqLVCAX8IT+zTd1NCci5MfSdjQzn3/mw=,A00000066443,2,-8.5,-26.3,1.47,47.05,NA,1,2019,2019,permill,permill,percent,percent,NA,number,NA,NA
