dpID,site,table,years_averaged,siteID,plotID,namedLocation,n_raw_records,kclAmmoniumNConc_mean_2018_2024,ammoniumNRepNum_mean_2018_2024,kclNitrateNitriteNConc_mean_2018_2024,nitrateNitriteNRepNum_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,kclAmmoniumNConc_mean_2018_2024_unit,ammoniumNRepNum_mean_2018_2024_unit,kclNitrateNitriteNConc_mean_2018_2024_unit,nitrateNitriteNRepNum_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_001,LAJA_001.basePlot.bgc,18,0.42725,1,0.3055,1,2020.1666666666667,2020.1666666666667,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_002,LAJA_002.basePlot.bgc,18,0.17933333333333334,1,0.3026111111111111,1,2020.1666666666667,2020.1666666666667,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_003,LAJA_003.basePlot.bgc,21,0.0871904761904762,1.1428571428571428,0.31047619047619046,1.1428571428571428,2020.1904761904761,2020.1904761904761,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_004,LAJA_004.basePlot.bgc,18,0.18655555555555556,1,0.5256111111111111,1,2020.1666666666667,2020.1666666666667,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_005,LAJA_005.basePlot.bgc,20,0.14666666666666667,1.1,0.36183333333333334,1.1,2020.15,2020.15,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_015,LAJA_015.basePlot.bgc,18,0.14986666666666668,1,0.7802,1,2020.1666666666667,2020.1666666666667,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_042,LAJA_042.basePlot.bgc,18,0.3949375,1,0.171375,1,2020.1666666666667,2020.1666666666667,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_044,LAJA_044.basePlot.bgc,19,0.42105882352941176,1.0526315789473684,0.23176470588235296,1.0526315789473684,2020.157894736842,2020.157894736842,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_046,LAJA_046.basePlot.bgc,19,0.29006666666666664,1.0526315789473684,0.47059999999999996,1.0526315789473684,2020.157894736842,2020.157894736842,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,LAJA_051,LAJA_051.basePlot.bgc,20,0.374,1.1,0.5896470588235294,1.1,2020.15,2020.15,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,LAJA,ntr_externalLab,2018-2024,LAJA,NA,LAJA,68,0.014796875000000001,1.0441176470588236,0.062953125,1.0441176470588236,2020.1470588235295,2020.1470588235295,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
