dpID,site,table,years_averaged,siteID,plotID,namedLocation,n_raw_records,year_download_mean_2018_2024,collectYear_mean_2018_2024,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_004,PUUM_004.basePlot.bgc,7,2021.4285714285713,2021.4285714285713,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_006,PUUM_006.basePlot.bgc,7,2021.142857142857,2021.142857142857,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_007,PUUM_007.basePlot.bgc,7,2021.142857142857,2021.142857142857,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_010,PUUM_010.basePlot.bgc,7,2021.142857142857,2021.142857142857,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_014,PUUM_014.basePlot.bgc,6,2021.5,2021.5,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_015,PUUM_015.basePlot.bgc,7,2021.142857142857,2021.142857142857,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_031,PUUM_031.basePlot.bgc,3,2020,2020,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_032,PUUM_032.basePlot.bgc,1,2019,2019,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_034,PUUM_034.basePlot.bgc,6,2021.5,2021.5,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_036,PUUM_036.basePlot.bgc,6,2021.5,2021.5,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_040,PUUM_040.basePlot.bgc,5,2022,2022,NA,NA
DP1.10086.001,PUUM,sls_metagenomicsPooling,2018-2024,PUUM,PUUM_042,PUUM_042.basePlot.bgc,3,2023,2023,NA,NA
