uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
00cdda4b-10c6-4004-8c5c-97c37d270c32,D13,NIWO,NIWO_005,NIWO_005.basePlot.bgc,2022-07-18T19:26:00Z,2022-07-18T19:26:00Z,NIWO.peakGreenness.2022,NEON.DOC.014048vO,NIWO_005-M-21-20220718,NIWO_005-M-20220718-COMP,B00000103286,OK,NA,0000-0002-2637-0718,NA,NA,20251217T193616Z,RELEASE-2026,DP1.10086.001,NIWO,2022,sls_metagenomicsPooling
166c80ce-1df8-4fd0-938e-2eb3d34d3293,D13,NIWO,NIWO_005,NIWO_005.basePlot.bgc,2022-07-18T20:05:00Z,2022-07-18T20:25:00Z,NIWO.peakGreenness.2022,NEON.DOC.014048vO,NIWO_005-O-41-20220718|NIWO_005-O-39-20220718,NIWO_005-O-20220718-COMP,B00000103287,OK,NA,0000-0002-2637-0718,NA,NA,20251217T193616Z,RELEASE-2026,DP1.10086.001,NIWO,2022,sls_metagenomicsPooling
