dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,n_raw_records,incubationLength_mean_2018_2024,soilFreshMass_mean_2018_2024,kclVolume_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,incubationLength_mean_2018_2024_unit,soilFreshMass_mean_2018_2024_unit,kclVolume_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_001,UNDE_001.basePlot.bgc,distributed,50,10.3586,10.011,99.94,2021,2021,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_002,UNDE_002.basePlot.bgc,distributed,36,10.325833333333334,10.047777777777778,100,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_003,UNDE_003.basePlot.bgc,distributed,40,10.602,10.0345,99.95,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_006,UNDE_006.basePlot.bgc,distributed,34,10.85,10.075,100.02941176470588,2021.3529411764705,2021.3529411764705,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_008,UNDE_008.basePlot.bgc,distributed,36,10.705277777777777,10.01388888888889,99.88888888888889,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_010,UNDE_010.basePlot.bgc,distributed,38,10.366842105263158,10.02657894736842,100.05263157894737,2021.3684210526317,2021.3684210526317,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_037,UNDE_037.basePlot.bgc,tower,64,10.0978125,10.06984375,99.828125,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_038,UNDE_038.basePlot.bgc,tower,49,9.737142857142857,10.025714285714287,99.95918367346938,2021.3469387755101,2021.3469387755101,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_043,UNDE_043.basePlot.bgc,tower,38,9.976315789473684,10.075263157894737,99.86842105263158,2021.6315789473683,2021.6315789473683,day,gram,milliliter,NA,NA
DP1.10086.001,UNDE,ntr_internalLab,2018-2024,UNDE,UNDE_044,UNDE_044.basePlot.bgc,tower,52,10.010769230769231,10.045961538461539,99.84615384615384,2021.5,2021.5,day,gram,milliliter,NA,NA
