dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,archiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,archiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_007,SJER_007.basePlot.cfc,distributed,2kN0Z0OxE8F+DrJETvKxYBMxgM7z0K2ZZkMOixWrCso=,A00000397106,1,8.1,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_008,SJER_008.basePlot.cfc,distributed,2kN0Z0OxE8EP2R18FeHmGS9RWTusOpGi5/mzitZyqOk=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_008,SJER_008.basePlot.cfc,distributed,2kN0Z0OxE8EP2R18FeHmGb78PNevXpTIF9eHMoZER1M=,NA,1,7.56,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_008,SJER_008.basePlot.cfc,distributed,2kN0Z0OxE8F8MADKxc+rjlD+sNYLT1qwMxrfSVlUyHs=,NA,1,4.62,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_008,SJER_008.basePlot.cfc,distributed,2kN0Z0OxE8F8MADKxc+rjmuSdY4D/cqSVLV20xmvIZE=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_008,SJER_008.basePlot.cfc,distributed,2kN0Z0OxE8GjYELjXDBJbmr8S70gKtOTJgO8uT9oQzQ=,NA,1,9.48,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_008,SJER_008.basePlot.cfc,distributed,2kN0Z0OxE8GjYELjXDBJboeoXCj1L+HRzFVRlGfQB+Y=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_008,SJER_008.basePlot.cfc,distributed,2kN0Z0OxE8HweP0X7OGduuZc4Qc8KUfn3uOTaAZVUDI=,NA,1,5.22,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_009,SJER_009.basePlot.cfc,distributed,2kN0Z0OxE8GTUdNsBIzfR/KftHYeEm/X9B+ZS+y2X+8=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_009,SJER_009.basePlot.cfc,distributed,2kN0Z0OxE8GTUdNsBIzfR0gK8A5pyylo1wgMx/Ur8Wc=,NA,1,6.67,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_009,SJER_009.basePlot.cfc,distributed,2kN0Z0OxE8HnCvFue5ndWX7TBrxc1u8M6GB2cNtVo4Y=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_012,SJER_012.basePlot.cfc,distributed,2kN0Z0OxE8F+GyvgG4pMlQjtC/S3XS94W9PSVUuImrg=,NA,1,8.68,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_012,SJER_012.basePlot.cfc,distributed,2kN0Z0OxE8GeT1an5Vbz9ik0z5dixN1NADFlM6/uixk=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_012,SJER_012.basePlot.cfc,distributed,2kN0Z0OxE8GeT1an5Vbz9kgZ+akt+TESH70O4sxJReA=,NA,1,7.96,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_012,SJER_012.basePlot.cfc,distributed,2kN0Z0OxE8HfzJ2cXhW90gTLmh7AQNfvvcSjLpKcNC8=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_012,SJER_012.basePlot.cfc,distributed,2kN0Z0OxE8HfzJ2cXhW90jHZH/cUs5AqveyEvUV3U/M=,NA,1,4.27,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_014,SJER_014.basePlot.cfc,distributed,2kN0Z0OxE8F4qS+rd3bR8KnRtAHRe+WGRbGo6Zb8Fc4=,NA,1,7.46,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_014,SJER_014.basePlot.cfc,distributed,2kN0Z0OxE8GgcyGjlRGWMjXDcLqd+ffiqdZVtVeMsgE=,A00000397100,1,5.92,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_014,SJER_014.basePlot.cfc,distributed,2kN0Z0OxE8GgcyGjlRGWMpEXrHmkEBaOQWcTWbMHN08=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_015,SJER_015.basePlot.cfc,distributed,2kN0Z0OxE8FERIW0ws+1VoXneT8WCPD0k9Co2qSprNI=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_015,SJER_015.basePlot.cfc,distributed,2kN0Z0OxE8FERIW0ws+1VvVUxNXSDSiHsDc5PqWiT1Q=,NA,1,3.12,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_015,SJER_015.basePlot.cfc,distributed,2kN0Z0OxE8FjCRHv1/2ezBRVkbsk4WIq1upKBT3VOY8=,NA,1,7.64,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_015,SJER_015.basePlot.cfc,distributed,2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPOL2MJlZpkVI=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_015,SJER_015.basePlot.cfc,distributed,2kN0Z0OxE8HLfd00JnX4i+7jb5JyhncVA0ZBGvQuoPg=,A00000397113,1,9.15,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_016,SJER_016.basePlot.cfc,distributed,2kN0Z0OxE8E/ZOWfsLptbECUcfCio0q0JmAthmW+V5A=,A00000397081,1,10.2,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_016,SJER_016.basePlot.cfc,distributed,2kN0Z0OxE8EdHCE0H8fEFSNc/DiPr5nV8NJ5SNU81LY=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_016,SJER_016.basePlot.cfc,distributed,2kN0Z0OxE8EdHCE0H8fEFboRkb13g/yPOKgF6R4fTPY=,NA,1,3.1,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_016,SJER_016.basePlot.cfc,distributed,2kN0Z0OxE8FjnNzpkc8JhDPhPb1uXFr7Y1TPiks3eeA=,A00000397091,1,9.6,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_016,SJER_016.basePlot.cfc,distributed,2kN0Z0OxE8FjnNzpkc8JhHgREbvwdKYSE9oPpOCEWbE=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_019,SJER_019.basePlot.cfc,distributed,2kN0Z0OxE8ESp2OZlPr9ikzlakdQZJ4CmEwZO+/JZfg=,A00000397105,1,3.89,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_019,SJER_019.basePlot.cfc,distributed,2kN0Z0OxE8ESp2OZlPr9inkwNhuc0nx/4T8gEhL9cSI=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_025,SJER_025.basePlot.cfc,distributed,2kN0Z0OxE8EMu3R8eYj5xEOeRao3HsZJ+iIHe9JXACw=,NA,1,3.73,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_025,SJER_025.basePlot.cfc,distributed,2kN0Z0OxE8EMu3R8eYj5xN/6hDPf09jF06PkPHv+LqU=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_025,SJER_025.basePlot.cfc,distributed,2kN0Z0OxE8GC/dQwyUnLQvi7GX6xu/Ra7AhNo10c4AQ=,NA,1,7.76,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_025,SJER_025.basePlot.cfc,distributed,2kN0Z0OxE8Hz4DkUohEzLDtJRgS6ILVhokG37fNykek=,A00000395039,1,8.63,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_025,SJER_025.basePlot.cfc,distributed,2kN0Z0OxE8Hz4DkUohEzLJNSvGT/VDdp/4tY5xL1ALs=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_026,SJER_026.basePlot.cfc,distributed,2kN0Z0OxE8F96tPbOqtRu3W30oPSb4xZ9iWjLkZ/22g=,A00000397098,1,3.51,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_026,SJER_026.basePlot.cfc,distributed,2kN0Z0OxE8F96tPbOqtRuwF5wRXFyecz8JPbBVdLqk8=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_026,SJER_026.basePlot.cfc,distributed,2kN0Z0OxE8GyduLCKugxGCNxU95bWZJhYDI0khdmRyw=,A00000397107,1,10.37,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_026,SJER_026.basePlot.cfc,distributed,2kN0Z0OxE8GyduLCKugxGNFIU3+a/qPoMrhTZoS3228=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_027,SJER_027.basePlot.cfc,distributed,2kN0Z0OxE8EuWcSzvFFryb76BkBQnHhcMyF2QVRLnDw=,NA,1,5.89,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_045,SJER_045.basePlot.cfc,tower,2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBYhhOnri9nEA=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_045,SJER_045.basePlot.cfc,tower,2kN0Z0OxE8Ght+vqSNjLJgUVT7YBOM0u8YVIXcf/Cp4=,A00000395008,1,4.35,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_045,SJER_045.basePlot.cfc,tower,2kN0Z0OxE8Ght+vqSNjLJrxI0Xu/o1jOisirSliQcWM=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_045,SJER_045.basePlot.cfc,tower,2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJ64mf1a8wgMY=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_045,SJER_045.basePlot.cfc,tower,2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBgx2PAcfjwtY=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_046,SJER_046.basePlot.cfc,tower,2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiV1hjVWHZ0RA=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_046,SJER_046.basePlot.cfc,tower,2kN0Z0OxE8EqZNFhaFHoFe3nETfdWaalHbhzo+MVE+8=,A00000395031,1,6.82,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_046,SJER_046.basePlot.cfc,tower,2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smSUTLiITwlIzo=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_046,SJER_046.basePlot.cfc,tower,2kN0Z0OxE8FrgGadQFQgj0H6RFOj0PpEjxT4aQRBohM=,NA,1,NA,2019,2019,gram,NA,NA
