dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,boatMass_mean_2018_2024,freshMassBoatMass_mean_2018_2024,dryMassBoatMass_mean_2018_2024,soilMoisture_mean_2018_2024,dryMassFraction_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,boatMass_mean_2018_2024_unit,freshMassBoatMass_mean_2018_2024_unit,dryMassBoatMass_mean_2018_2024_unit,soilMoisture_mean_2018_2024_unit,dryMassFraction_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_001,BARR_001.basePlot.bgc,M,3,1.08,11.22,6.306666666666667,1.309,0.515,2022,2022,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_001,BARR_001.basePlot.bgc,O,15,1.4213333333333333,6.48,2.0786666666666664,7.4779333333333335,0.13026666666666667,2020.6,2020.6,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_002,BARR_002.basePlot.bgc,M,4,1.2,11.2225,7.34,0.675,0.612,2022.5,2022.5,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_002,BARR_002.basePlot.bgc,O,16,1.508125,6.474375,2.705625,4.7160625,0.2396875,2020.9375,2020.9375,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_003,BARR_003.basePlot.bgc,M,1,1.1,11.09,5.62,1.21,0.452,2022,2022,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_003,BARR_003.basePlot.bgc,O,18,1.5505555555555555,6.638333333333334,2.2088888888888887,8.024277777777778,0.12933333333333333,2021.1666666666667,2021.1666666666667,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_004,BARR_004.basePlot.bgc,M,9,1.4111111111111112,11.338888888888889,6.811111111111111,0.981,0.5425555555555556,2022.7777777777778,2022.7777777777778,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_004,BARR_004.basePlot.bgc,O,12,1.57,6.118333333333333,2.8933333333333335,3.0925833333333332,0.28208333333333335,2020.1666666666667,2020.1666666666667,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_005,BARR_005.basePlot.bgc,O,12,1.4975,6.5808333333333335,2.6283333333333334,4.107666666666667,0.22275,2020.25,2020.25,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_006,BARR_006.basePlot.bgc,M,2,1.6600000000000001,11.969999999999999,5.43,2.042,0.3675,2023,2023,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_006,BARR_006.basePlot.bgc,O,16,1.5525,6.58,2.58375,4.5304375,0.2055625,2020.9375,2020.9375,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_051,BARR_051.basePlot.bgc,M,2,0.89,11.149999999999999,4.645,1.7325,0.366,2022,2022,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_051,BARR_051.basePlot.bgc,O,18,1.5272222222222223,6.604444444444445,2.4983333333333335,4.881222222222222,0.19227777777777777,2021.1666666666667,2021.1666666666667,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_052,BARR_052.basePlot.bgc,M,5,1.434,10.162,5.8580000000000005,1.2776,0.4896,2022.8,2022.8,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_052,BARR_052.basePlot.bgc,O,15,1.4726666666666666,6.472666666666667,2.4286666666666665,5.5569999999999995,0.19606666666666667,2020.7333333333333,2020.7333333333333,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_053,BARR_053.basePlot.bgc,M,2,1.145,9.864999999999998,4.15,1.9405000000000001,0.348,2022,2022,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_053,BARR_053.basePlot.bgc,O,18,1.527777777777778,6.486666666666666,2.3833333333333333,5.857666666666667,0.17472222222222222,2021.1666666666667,2021.1666666666667,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_054,BARR_054.basePlot.bgc,M,1,0.98,9.99,7.23,0.442,0.694,2022,2022,gram,gram,gram,gramsPerGram,NA,NA,NA
DP1.10086.001,BARR,sls_soilMoisture,2018-2024,BARR,BARR_054,BARR_054.basePlot.bgc,O,18,1.5305555555555557,6.497222222222223,2.3583333333333334,5.583166666666667,0.16977777777777778,2021.1666666666667,2021.1666666666667,gram,gram,gram,gramsPerGram,NA,NA,NA
