table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName,dpID,siteID_download,year
science_review_flags,lastUpdateDateTime,The date and time the science review flag was last updated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z',NA,NA,DP1.00044.001,,
science_review_flags,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
science_review_flags,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
sensor_positions,HOR.VER,"The combined value of the horizontal and vertical location indices specified in each data file name. The HOR index is a three-character alphanumeric code for the measurement locations within one horizontal plane. For example, if one surface measurement were made at each of five soil array plots, the number in the HOR field would range from 001-005. The VER index is a three-character alphanumeric code for the measurement locations within one vertical plane. For example, if one temperature measurement is made at each vertical level of a tower with 8 levels, the number in the VER field would range from 010-080.",string,NA,basic,asIs,NA,NA,DP1.00044.001,,
sensor_positions,sensorLocationID,The unique identifier for the location used by NEON for where the sensor was installed,string,NA,basic,asIs,NA,NA,DP1.00044.001,,
sensor_positions,sensorLocationDescription,The description of the location where the sensor was installed,string,NA,basic,asIs,NA,NA,DP1.00044.001,,
sensor_positions,positionStartDateTime,"The start date and time in UTC for the position information supplied for the location. If the position or orientation of the location changed over time, additional rows will supply the full history.",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00044.001,,
sensor_positions,positionEndDateTime,The end date and time in UTC for the position information supplied for the location. A blank value indicates that the position information was still valid for the location at the time of publishing.,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00044.001,,
sensor_positions,referenceLocationID,"The unique identifier for the reference location from which the xOffset, yOffset, and zOffset distances are measured",string,NA,basic,asIs,NA,NA,DP1.00044.001,,
sensor_positions,referenceLocationIDDescription,The description of the reference location,string,NA,basic,asIs,NA,NA,DP1.00044.001,,
sensor_positions,referenceLocationIDStartDateTime,"The start date and time in UTC for the position information supplied for the reference location. If the position of the reference location changed over time, additional rows will supply the full history.",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00044.001,,
sensor_positions,referenceLocationIDEndDateTime,The end date and time in UTC for the position information supplied for the reference location,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00044.001,,
sensor_positions,xOffset,"The offset along the x-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,yOffset,"The offset along the y-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,zOffset,"The offset along the z-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed. The z-axis is always aligned with up, positive values indicating heights above the reference location.",real,meter,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,pitch,"The elevation angle, in degrees, in the vertical plane at which the sensor is oriented relative to the horizontal plane. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degree,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,roll,"The roll angle at which the sensor is oriented, in degrees, about the longitudinal axis of the sensor",real,degree,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,azimuth,"The azimuth or yaw angle, in degrees, at which the sensor is facing relative to true north. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degree,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,locationReferenceLatitude,"The geographic latitude, in degrees, of the reference location",real,decimalDegree,basic,*.######(round),NA,NA,DP1.00044.001,,
sensor_positions,locationReferenceLongitude,"The geographic longitude, in degrees, of the reference location",real,degree,basic,*.######(round),NA,NA,DP1.00044.001,,
sensor_positions,locationReferenceElevation,"The elevation, in meters, above mean sea level",real,meter,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,eastOffset,"The offset along the cardinal east direction, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,northOffset,"The offset along the cardinal north (true) direction, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,xAzimuth,"The azimuth, in degrees, of the local x-axis with respect to true north, used to convert the distance offset measured along the local x-axis (xOffset) to the offset along the cardinal east direction (eastOffset)",real,degree,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,yAzimuth,"The azimuth, in degrees, of the local y-axis with respect to true north, used to convert the distance offset measured along the local y-axis (yOffset) to the offset along the cardinal north direction (northOffset)",real,degree,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
sensor_positions,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_60min,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_60min,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_60min,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_60min,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_60min,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00044.001,,
WEIPRE_60min,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA,DP1.00044.001,,
WEIPRE_60min,precipBulk,Bulk precipitation accumulated over the aggregation interval,real,millimeter,basic,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,precipBulkExpUncert,Expanded uncertainty for bulk precipitation,real,millimeter,basic,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,insuffDataQF,"Quality flag indicating whether sufficient data was available to compute bulk precipitation (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,extremePrecipQF,"Quality flag indicating whether the computed precipitation amount was within a plausible range (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,heaterErrorQF,"Quality flag indicating whether the heaters were operating properly (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,dielNoiseQF,"Quality flag indicating whether there the diel variability of the measured precipitation depth output was sufficiently low to have high confidence in the computed precipitation (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeStabilityQF,"Quality flag indicating whether the strain gauges reported stable collector status (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,evapDetectedQF,"Quality flag indicating whether the depth benchmark of the collector was adjusted downward to account for evaporation (1=evaporation adjustment made, 0=no evaporation adjustment made, -1=NA (i.e., could not be evaluated))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,inletHeaters1QM,"Quality metric that summarizes when one of the inlet heaters was on over the measurement period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,inletHeaters2QM,"Quality metric that summarizes when two of the inlet heaters were on over the measurement period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,inletHeaters3QM,"Quality metric that summarizes when all three of the inlet heaters were on over the measurement period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,inletHeatersNAQM,"Quality metric that summarizes when no heater information was available over the measurement period, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthNullPassQM,"Quality metric that summarizes the passed outcomes of the null test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthNullFailQM,"Quality metric that summarizes the failed outcomes of the null test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthNullNAQM,"Quality metric that summarizes when the null test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthGapPassQM,"Quality metric that summarizes the passed outcomes of the gap test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthGapFailQM,"Quality metric that summarizes the failed outcomes of the gap test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthGapNAQM,"Quality metric that summarizes when the gap test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthRangePassQM,"Quality metric that summarizes the passed outcomes of the range test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthRangeFailQM,"Quality metric that summarizes the failed outcomes of the range test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthRangeNAQM,"Quality metric that summarizes when the range test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthStepPassQM,"Quality metric that summarizes the passed outcomes of the step test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthStepFailQM,"Quality metric that summarizes the failed outcomes of the step test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthStepNAQM,"Quality metric that summarizes when the step test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthSpikePassQM,"Quality metric that summarizes the passed outcomes of the spike test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthSpikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthSpikeNAQM,"Quality metric that summarizes when the spike test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthPersistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthPersistenceFailQM,"Quality metric that summarizes the failed outcomes of the persistence test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthPersistenceNAQM,"Quality metric that summarizes when the persistence test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthValidCalPassQM,"Quality metric that summarizes the passed outcomes of the valid calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthValidCalFailQM,"Quality metric that summarizes the failed outcomes of the valid calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthValidCalNAQM,"Quality metric that summarizes when the valid calibration test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthSuspectCalPassQM,"Quality metric that summarizes the passed outcomes of the suspect calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthSuspectCalFailQM,"Quality metric that summarizes the failed outcomes of the suspect calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,strainGaugeDepthSuspectCalNAQM,"Quality metric that summarizes when the suspect calibration test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_60min,finalQF,"Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,finalQFSciRvw,"Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_60min,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_60min,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_daily,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_daily,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_daily,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_daily,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_daily,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,basic,yyyy-MM-dd(floor),NA,NA,DP1.00044.001,,
WEIPRE_daily,precipBulk,Bulk precipitation accumulated over the aggregation interval,real,millimeter,basic,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,precipBulkExpUncert,Expanded uncertainty for bulk precipitation,real,millimeter,basic,*.##(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,insuffDataQF,"Quality flag indicating whether sufficient data was available to compute bulk precipitation (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,extremePrecipQF,"Quality flag indicating whether the computed precipitation amount was within a plausible range (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,heaterErrorQF,"Quality flag indicating whether the heaters were operating properly (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,dielNoiseQF,"Quality flag indicating whether there the diel variability of the measured precipitation depth output was sufficiently low to have high confidence in the computed precipitation (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeStabilityQF,"Quality flag indicating whether the strain gauges reported stable collector status (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,evapDetectedQF,"Quality flag indicating whether the depth benchmark of the collector was adjusted downward to account for evaporation (1=evaporation adjustment made, 0=no evaporation adjustment made, -1=NA (i.e., could not be evaluated))",signed integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,inletHeaters1QM,"Quality metric that summarizes when one of the inlet heaters was on over the measurement period, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,inletHeaters2QM,"Quality metric that summarizes when two of the inlet heaters were on over the measurement period, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,inletHeaters3QM,"Quality metric that summarizes when all three of the inlet heaters were on over the measurement period, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,inletHeatersNAQM,"Quality metric that summarizes when no heater information was available over the measurement period, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthNullPassQM,"Quality metric that summarizes the passed outcomes of the null test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthNullFailQM,"Quality metric that summarizes the failed outcomes of the null test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthNullNAQM,"Quality metric that summarizes when the null test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthGapPassQM,"Quality metric that summarizes the passed outcomes of the gap test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthGapFailQM,"Quality metric that summarizes the failed outcomes of the gap test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthGapNAQM,"Quality metric that summarizes when the gap test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthRangePassQM,"Quality metric that summarizes the passed outcomes of the range test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthRangeFailQM,"Quality metric that summarizes the failed outcomes of the range test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthRangeNAQM,"Quality metric that summarizes when the range test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthStepPassQM,"Quality metric that summarizes the passed outcomes of the step test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthStepFailQM,"Quality metric that summarizes the failed outcomes of the step test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthStepNAQM,"Quality metric that summarizes when the step test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthSpikePassQM,"Quality metric that summarizes the passed outcomes of the spike test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthSpikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthSpikeNAQM,"Quality metric that summarizes when the spike test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthPersistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthPersistenceFailQM,"Quality metric that summarizes the failed outcomes of the persistence test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthPersistenceNAQM,"Quality metric that summarizes when the persistence test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthValidCalPassQM,"Quality metric that summarizes the passed outcomes of the valid calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthValidCalFailQM,"Quality metric that summarizes the failed outcomes of the valid calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthValidCalNAQM,"Quality metric that summarizes when the valid calibration test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthSuspectCalPassQM,"Quality metric that summarizes the passed outcomes of the suspect calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthSuspectCalFailQM,"Quality metric that summarizes the failed outcomes of the suspect calibration test over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,strainGaugeDepthSuspectCalNAQM,"Quality metric that summarizes when the suspect calibration test could not be run over the averaging period for the collector depth determined by the strain gauges, as a percent",real,percent,expanded,*.###(round),NA,NA,DP1.00044.001,,
WEIPRE_daily,finalQF,"Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,finalQFSciRvw,"Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA,DP1.00044.001,,
WEIPRE_daily,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
WEIPRE_daily,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,,DP1.00044.001,,
sensor_positions,pitch,"The elevation angle, in degrees, in the vertical plane at which the sensor is oriented relative to the horizontal plane. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degrees,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,roll,"The roll angle at which the sensor is oriented, in degrees, about the longitudinal axis of the sensor",real,degrees,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,azimuth,"The azimuth or yaw angle, in degrees, at which the sensor is facing relative to true north. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degrees,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,locationReferenceLatitude,"The geographic latitude, in degrees, of the reference location",real,degrees,basic,*.######(round),NA,NA,DP1.00044.001,,
sensor_positions,locationReferenceLongitude,"The geographic longitude, in degrees, of the reference location",real,degrees,basic,*.######(round),NA,NA,DP1.00044.001,,
sensor_positions,xAzimuth,"The azimuth, in degrees, of the local x-axis with respect to true north, used to convert the distance offset measured along the local x-axis (xOffset) to the offset along the cardinal east direction (eastOffset)",real,degrees,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,yAzimuth,"The azimuth, in degrees, of the local y-axis with respect to true north, used to convert the distance offset measured along the local y-axis (yOffset) to the offset along the cardinal north direction (northOffset)",real,degrees,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,locationReferenceLatitude,"The geographic latitude, in degrees, of the reference location.",real,degrees,basic,*.######(round),NA,NA,DP1.00044.001,,
sensor_positions,locationReferenceLongitude,"The geographic longitude, in degrees, of the reference location.",real,degrees,basic,*.######(round),NA,NA,DP1.00044.001,,
sensor_positions,xAzimuth,"The azimuth, in degrees, of the local x-axis with respect to true north, used to convert the distance offset measured along the local x-axis (xOffset) to the offset along the cardinal east direction (eastOffset).",real,degrees,basic,*.##(round),NA,NA,DP1.00044.001,,
sensor_positions,yAzimuth,"The azimuth, in degrees, of the local y-axis with respect to true north, used to convert the distance offset measured along the local y-axis (yOffset) to the offset along the cardinal north direction (northOffset).",real,degrees,basic,*.##(round),NA,NA,DP1.00044.001,,
science_review_flags,dpID,"Data product identifier in the form of DPL.DPNUM.REV where DPL indicates data product level (0-4), DPNUM indicates a five-numeral identification number for the data product, and REV indicates a revision number.",string,NA,basic,asIs,NA,NA,DP1.00044.001,,
