dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,archiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,archiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_001,JORN_001.basePlot.cfc,distributed,NrWJnEy30palUinYjroI35or/0tYTJyDDi7eYrKXNCo=,A00000355295,1,1.07,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_001,JORN_001.basePlot.cfc,distributed,NrWJnEy30palUinYjroI3xIUzpcKuo4o9BmqUX9DvOQ=,A00000355312,1,1.6,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_001,JORN_001.basePlot.cfc,distributed,NrWJnEy30pbn8ga5/09DP8mhuvsVtjk6Hh+bbBmU/TQ=,A00000355405,1,10.98,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_001,JORN_001.basePlot.cfc,distributed,NrWJnEy30pbt+dOpNyz1JZ/gy8NL8mN0qRr5sTWz4HQ=,A00000355437,1,7.4,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_002,JORN_002.basePlot.cfc,distributed,NrWJnEy30pZxH/6PUXNbX3+4Fr+xthrXneVNhnZwdj4=,A00000355293,1,6.61,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_002,JORN_002.basePlot.cfc,distributed,NrWJnEy30pbhSG614nyBEB9N4c0Vg5O9ZHZyOFmTgu8=,A00000355421,1,8.95,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_003,JORN_003.basePlot.cfc,distributed,NrWJnEy30pbcpw8EaMiyiL21KUUfPRkilUpAd98doRI=,A00000355278,1,8.12,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_005,JORN_005.basePlot.cfc,distributed,NrWJnEy30pYb69Uqz+Q+XFrify8aWS3n86F9QQ1DrSk=,A00000355277,1,9.03,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_005,JORN_005.basePlot.cfc,distributed,NrWJnEy30pZbEqIOrdFqU3hpVVpRVC/cLAkrOYUNDH8=,A00000355310,1,7.87,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_007,JORN_007.basePlot.cfc,distributed,NrWJnEy30pYr4GLSTAZ24x3y7hW+Ma+ewdsKP6PKpFc=,A00000355406,1,9.54,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_007,JORN_007.basePlot.cfc,distributed,NrWJnEy30pboUEQP7+NMQ/sSZisc0ObLCkYZgQ2LnI8=,A00000355263,1,7.16,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_009,JORN_009.basePlot.cfc,distributed,NrWJnEy30paXWVwPGNeLA8B3YD6xVqKltNpRdY49Bx0=,A00000355311,1,8.54,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_009,JORN_009.basePlot.cfc,distributed,NrWJnEy30pawL8XCla3vZIOvcKUKVHrD4zKRWeMY820=,A00000355358,1,7.38,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_010,JORN_010.basePlot.cfc,distributed,NrWJnEy30pZqE7p+mqFMpGSt77FxeaqkuLU4qBvF7Nc=,A00000355374,1,NA,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_011,JORN_011.basePlot.cfc,distributed,NrWJnEy30paiSqN+9z7T0vb6Y1PPMSPdlc3fy0lSY1E=,A00000355422,1,2.97,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_012,JORN_012.basePlot.cfc,distributed,NrWJnEy30pZm53NdG9gWZ6I9mFj5L9geoxy24TzIJeY=,A00000355279,1,3.43,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_012,JORN_012.basePlot.cfc,distributed,NrWJnEy30pZm53NdG9gWZ7cCtj8hnvJ52nQbv43JTb4=,A00000355294,1,3.42,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_015,JORN_015.basePlot.cfc,distributed,NrWJnEy30paqsnCyxogov8Jgd9dDllR/1dNTGPMeIfU=,A00000355390,1,9.47,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_017,JORN_017.basePlot.cfc,distributed,NrWJnEy30pYntBfYtB0m5PN615af2/UTw/6wLPz+eTk=,A00000355359,1,8.7,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_018,JORN_018.basePlot.cfc,distributed,NrWJnEy30pYHRlY9JleMWv7vKwVkAJaug4mZeqg49Tg=,A00000355357,1,NA,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_042,JORN_042.basePlot.cfc,tower,NrWJnEy30pa9hgXY8If8AYaLO2KwM5QLNk+bkB5UBkg=,A00000355309,1,2.91,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_045,JORN_045.basePlot.cfc,tower,NrWJnEy30pZqn1VwLwoBVqOTVuJMdUMgn+MUC0zq8Ag=,A00000355262,1,1.9,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_045,JORN_045.basePlot.cfc,tower,NrWJnEy30pb8qHZiI2BlmhF2EpXPDxpIakGejVSm414=,A00000355375,1,7.84,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_045,JORN_045.basePlot.cfc,tower,NrWJnEy30pb8qHZiI2Blmkt8/Lll4XzfBJEWHkhKRZY=,A00000355389,1,8.08,2022,2022,gram,NA,NA
DP1.10026.001,JORN,cfc_chemistrySubsampling,2022,JORN,JORN_045,JORN_045.basePlot.cfc,tower,NrWJnEy30pb8qHZiI2Blmkvv9VPtED64D/qFMsCgrR8=,A00000355373,1,7.48,2022,2022,gram,NA,NA
