uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
5ec9ff9f-e00c-4898-ba0f-99627f8bc969,2018-12-13,MLBS_001.basePlot.bgc,D07,MLBS,MLBS_001,distributed,2018-06-11T22:57:00Z,2018-06-11T22:57:00Z,MLBS_001-M-32-37-20180611,NA,MLBS_001-M-32-37-20180611-CN,NA,soil,N,NA,6.8,-26.1,0.22,3,13.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
62696588-5af4-48d7-b8ff-8600b67ea83c,2018-12-13,MLBS_001.basePlot.bgc,D07,MLBS,MLBS_001,distributed,2018-06-11T22:57:00Z,2018-06-11T22:57:00Z,MLBS_001-O-32-37-20180611,NA,MLBS_001-O-32-37-20180611-CN,NA,soil,N,NA,4.5,-26.8,0.46,6.82,14.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
67d832bc-07eb-4db5-85c3-e9e75974a4fe,2018-12-12,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,distributed,2018-06-12T12:36:00Z,2018-06-12T12:36:00Z,MLBS_003-O-36.5-14.5-20180612,NA,MLBS_003-O-36.5-14.5-20180612-CN,NA,soil,N,NA,3.4,-26,1.15,24.85,21.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
f0c5e068-ce3e-4c74-a423-dd1870f09c8c,2018-12-13,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,distributed,2018-06-12T12:42:00Z,2018-06-12T12:42:00Z,MLBS_003-M-36.5-14.5-20180612,NA,MLBS_003-M-36.5-14.5-20180612-CN,NA,soil,N,NA,7.4,-25.7,0.42,6.25,15,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
3cebfce8-80f5-44b6-ab5a-d481ee727d24,2018-12-13,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,distributed,2018-06-12T13:04:00Z,2018-06-12T13:04:00Z,MLBS_003-O-26-38.5-20180612,NA,MLBS_003-O-26-38.5-20180612-CN,NA,soil,N,NA,3.1,-27.1,1.37,21.91,15.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
661a650b-aaa9-4aac-91bf-ebb4f0ee8c71,2018-12-13,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,distributed,2018-06-12T13:07:00Z,2018-06-12T13:07:00Z,MLBS_003-M-26-38.5-20180612,NA,MLBS_003-M-26-38.5-20180612-CN,NA,soil,N,NA,5.8,-26.4,0.43,6.09,14.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
425f5779-372d-4176-8d0c-7c3e05d30751,2018-12-13,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,distributed,2018-06-12T13:28:00Z,2018-06-12T13:28:00Z,MLBS_003-O-6-36.5-20180612,NA,MLBS_003-O-6-36.5-20180612-CN,NA,soil,N,NA,3.8,-27.5,0.85,15.09,17.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
8623ca73-490b-488f-beae-351526d28e71,2018-12-13,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,distributed,2018-06-12T13:34:00Z,2018-06-12T13:34:00Z,MLBS_003-M-6-36.5-20180612,NA,MLBS_003-M-6-36.5-20180612-CN,NA,soil,N,NA,6.6,-26.2,0.25,3.55,14.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
e2a427f0-b31d-4bef-8bf1-313c29fb099c,2018-12-12,MLBS_002.basePlot.bgc,D07,MLBS,MLBS_002,distributed,2018-06-12T14:16:00Z,2018-06-12T14:16:00Z,MLBS_002-O-0-24.5-20180612,NA,MLBS_002-O-0-24.5-20180612-CN,NA,soil,N,NA,-0.2,-28.1,1.97,40.38,20.5,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
c8410631-bf42-4a1d-bd2d-809e96bfe274,2018-12-18,MLBS_002.basePlot.bgc,D07,MLBS,MLBS_002,distributed,2018-06-12T14:21:00Z,2018-06-12T14:21:00Z,MLBS_002-M-0-24.5-20180612,NA,MLBS_002-M-0-24.5-20180612-CN,NA,soil,N,NA,3.3,-27.7,0.3,7.51,24.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
