uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSamplePrepMethod,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyStatus,canopyPosition,leafSamplePosition,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,previousPolygon,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
4fa9d5e6-4e93-4066-be83-e47bdb54de14,DSNY_011.basePlot.cfc,D03,DSNY,DSNY_011,distributed,woodyWetlands,WGS84,28.070798,-81.383974,20.2,20.2,0.63,NEON.DOC.001024vK,2023-04-20T12:38:00Z,2023-05-03,OK,NA,Woody individual,pole pruner,k7LBIL3J5m6nTdzUfyKWO/SW+2ECu7d866jnG4tl60g=,A00000177542,OK,k7LBIL3J5m6nTdzUfyKWO/SW+2ECu7d8u4S0a5+xMpEo35RTlQ07ig==,B00000136166,dry ice,OK,NA,NA,NA,NA,NA,NA,unknown,02975,NEON.PLA.D03.DSNY.02975,VIRO3,Vitis rotundifolia Michx.,OK,true canopy,Partially shaded,mixture,6.5,NA,NA,NA,NA,NA,NA,0000-0003-0743-8788,0000-0002-5948-2855,NA,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_fieldData
f67e6500-8a4c-47d5-8158-f958636bd0cd,DSNY_011.basePlot.cfc,D03,DSNY,DSNY_011,distributed,woodyWetlands,WGS84,28.070798,-81.383974,20.2,20.2,0.63,NEON.DOC.001024vK,2023-04-20T12:38:00Z,2023-05-03,OK,NA,Woody individual,pole pruner,k7LBIL3J5m66fYd1Zs7PnpVnRVBAGuY4dHFyzW7GY8E=,A00000177526,OK,k7LBIL3J5m66fYd1Zs7PnpVnRVBAGuY4PZGIk9lXjnY=,B00000136167,dry ice,OK,NA,NA,NA,NA,NA,NA,Y,01102,NEON.PLA.D03.DSNY.01102,QUVI,Quercus virginiana Mill.,OK,true canopy,Partially shaded,top of crown,7.2,NA,NA,DSNY.01102.2023,medium,NA,DSNY-2023-polygons,0000-0003-0743-8788,0000-0002-5948-2855,NA,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_fieldData
2bbc4766-4ce3-43e4-be8e-e8a4baf41fbe,DSNY_011.basePlot.cfc,D03,DSNY,DSNY_011,distributed,woodyWetlands,WGS84,28.070798,-81.383974,20.2,20.2,0.63,NEON.DOC.001024vK,2023-04-20T12:38:00Z,2023-05-03,OK,NA,Woody individual,line launcher,k7LBIL3J5m5zacvQygYbARneEQg7yLwiyVq+xB070g8=,A00000177510,OK,k7LBIL3J5m5zacvQygYbARneEQg7yLwi12bHFcJuZCE=,B00000136168,dry ice,OK,NA,NA,NA,NA,NA,NA,Y,01109,NEON.PLA.D03.DSNY.01109,QUNI,Quercus nigra L.,OK,true canopy,Partially shaded,side of crown,6.2,NA,NA,DSNY.01109.2023,medium,NA,DSNY-2023-polygons,0000-0003-0743-8788,0000-0002-5948-2855,Also used pole pruner,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_fieldData
