uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
623e2eb3-dbf7-4d1d-9d2f-868bf1c19584,DSNY_002.basePlot.cfc,D03,DSNY,DSNY_002,distributed,k7LBIL3J5m7+R7zT1LjH6tqN+/tYvRa7UYAGWtOnNL0=,A00000177553,k7LBIL3J5m7+R7zT1LjH6tqN+/tYvRa7Rznf2ZEw8+sdwFqKednFeg==,A00000177579,2023-04-19T19:47:00Z,2023-09-14,1,0.201,25,0.053,0.299,1.324,0.188,0.125,381.6,22.5,3,9.2,53.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
46fbc306-b8a9-4077-83c5-136f5777da67,DSNY_002.basePlot.cfc,D03,DSNY,DSNY_002,distributed,k7LBIL3J5m6MBmqpjmivEzFA1fJDyxdhN1exN5ArePM=,A00000177489,k7LBIL3J5m6MBmqpjmivEzFA1fJDyxdhN8THpJpsfdk=,B00000136283,2023-04-19T19:47:00Z,2023-09-14,1,0.196,25,0.095,0.947,0.25,0.24,0.173,55.1,64.1,3,7.7,10.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
30ef472f-e582-48bb-8d49-f54d9f1659d5,DSNY_002.basePlot.cfc,D03,DSNY,DSNY_002,distributed,k7LBIL3J5m4tTAe2+CJgGXtEpHohV4nAJCpzy8eNCJg=,A00000177537,k7LBIL3J5m4tTAe2+CJgGXtEpHohV4nA4X2RABvfiPI=,B00000136291,2023-04-19T19:47:00Z,2023-09-14,1,0.199,25,0.055,0.283,0.601,0.282,0.093,69,19.7,4.5,50,22.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
158c5398-1c9a-4503-9c9d-3f5318d5c59e,DSNY_050.basePlot.cfc,D03,DSNY,DSNY_050,tower,k7LBIL3J5m5aaE4UO4G93D4q/o3YETXJ6kCtHl5ZGys=,A00000177546,k7LBIL3J5m5aaE4UO4G93D4q/o3YETXJpeIa3GD2JsA=,B00000136277,2023-04-20T12:32:00Z,2023-09-14,1,0.198,25,0.024,0.363,0.356,0.1,0.109,87.4,62.5,6,4.2,35.8,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
cb3c55dc-b28b-4420-a4fa-f80e31e53d17,DSNY_050.basePlot.cfc,D03,DSNY,DSNY_050,tower,k7LBIL3J5m5KJgM5OydpCpnNPfQjbjR7yAzgX93BkZg=,A00000177562,k7LBIL3J5m5KJgM5OydpCpnNPfQjbjR7XnNdEnI39rM=,A00000177618,2023-04-20T12:32:00Z,2023-09-14,1,0.195,25,0.139,0.857,1.11,0.229,0.224,22.7,34.9,5.5,27.4,36.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
cfee066f-7231-428a-899d-a698410e6424,DSNY_011.basePlot.cfc,D03,DSNY,DSNY_011,distributed,k7LBIL3J5m5zacvQygYbARneEQg7yLwiyVq+xB070g8=,A00000177510,k7LBIL3J5m5zacvQygYbARneEQg7yLwiXrpcYL16cvk=,A00000177639,2023-04-20T12:38:00Z,2023-09-14,1,0.196,25,0.1,0.588,0.318,0.219,0.095,159.7,39.7,9.5,16,28.8,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
5f89d285-12c3-48b5-ac4b-7477052c5cbb,DSNY_011.basePlot.cfc,D03,DSNY,DSNY_011,distributed,k7LBIL3J5m6nTdzUfyKWO/SW+2ECu7d866jnG4tl60g=,A00000177542,k7LBIL3J5m6nTdzUfyKWO/SW+2ECu7d8G3VJ49ZOTBQaXqXfx3L6DA==,B00000136273,2023-04-20T12:38:00Z,2023-09-14,1,0.198,25,0.131,1.235,1.316,0.346,0.126,351.7,46.5,6.1,18.1,16.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
5089991a-caa1-4637-b5de-3167c148cd91,DSNY_011.basePlot.cfc,D03,DSNY,DSNY_011,distributed,k7LBIL3J5m66fYd1Zs7PnpVnRVBAGuY4dHFyzW7GY8E=,A00000177526,k7LBIL3J5m66fYd1Zs7PnpVnRVBAGuY4MPQpNvwGr4Y=,A00000177635,2023-04-20T12:38:00Z,2023-09-14,1,0.197,25,0.13,0.834,0.322,0.182,0.121,116.9,24.5,8.5,14.1,21.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
3a236b3e-10e0-4a18-8222-d724f29b4336,DSNY_042.basePlot.cfc,D03,DSNY,DSNY_042,tower,k7LBIL3J5m6Qe35rkMCVvA/cOMLjUi1ndUdGOfYd9Xw=,A00000177499,k7LBIL3J5m6Qe35rkMCVvA/cOMLjUi1nU2yZY4Mz5xOakT3aHleuNg==,B00000136285,2023-04-20T14:41:00Z,2023-09-14,1,0.198,25,0.269,0.854,0.821,0.659,0.138,269.7,60.2,18.4,34.1,39.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
3b440bfa-0373-4311-bc8c-3cdf22f1deb4,DSNY_042.basePlot.cfc,D03,DSNY,DSNY_042,tower,k7LBIL3J5m5CD8QVqcog/g0PApW/Jm51zIw9Nf6jlyU=,A00000177482,k7LBIL3J5m5CD8QVqcog/g0PApW/Jm51xv+VRGZpT2I=,A00000177622,2023-04-20T14:41:00Z,2023-09-14,1,0.203,25,0.082,0.28,0.505,0.287,0.127,66.2,26.6,6.4,20.9,34.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,CiJPjd2CIin000O9ujraZQ==,NA,20260106T154723Z,RELEASE-2026,DP1.10026.001,DSNY,2023,cfc_elements
