dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,n_raw_records,d15N_mean_2018_2024,organicd13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,organicCPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,organicd13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,organicCPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_001,SOAP_001.basePlot.bgc,distributed,3,1.7333333333333334,-26.166666666666668,0.16666666666666666,3.56,21.833333333333332,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_002,SOAP_002.basePlot.bgc,distributed,7,0.17142857142857143,-26.085714285714285,0.24857142857142858,4.748571428571428,19.5,1.1428571428571428,2021.4285714285713,2021.4285714285713,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_003,SOAP_003.basePlot.bgc,distributed,7,1.157142857142857,-26.285714285714285,0.09428571428571429,1.9528571428571428,21.485714285714288,1.1428571428571428,2020.5714285714287,2020.5714285714287,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_004,SOAP_004.basePlot.bgc,distributed,6,1.7666666666666666,-26.016666666666666,0.195,4.253333333333333,21.5,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_005,SOAP_005.basePlot.bgc,distributed,3,2,-25.666666666666668,0.13666666666666666,3.1133333333333333,23.066666666666666,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_006,SOAP_006.basePlot.bgc,distributed,3,1.5333333333333332,-25.7,0.14,3.1366666666666667,22.566666666666666,1,2024,2024,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_007,SOAP_007.basePlot.bgc,distributed,3,1.5333333333333332,-25.900000000000002,0.2,3.58,18.2,1,2024,2024,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_025,SOAP_025.basePlot.bgc,distributed,2,0.5,-27.1,0.15,3.16,21.05,1,2024,2024,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_031,SOAP_031.basePlot.bgc,tower,6,0.65,-26.266666666666666,0.11333333333333334,2.521666666666667,22,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,7,0.8714285714285714,-26.057142857142857,0.09428571428571429,2.11,22.457142857142856,1.1428571428571428,2021.4285714285713,2021.4285714285713,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_044,SOAP_044.basePlot.bgc,tower,4,1.9,-25.375,0.17250000000000001,3.9050000000000002,22.425,1.25,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_045,SOAP_045.basePlot.bgc,tower,6,1.1333333333333333,-25.666666666666664,0.19333333333333333,3.933333333333333,21.15,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SOAP,sls_soilChemistry,2018-2024,SOAP,SOAP_047,SOAP_047.basePlot.bgc,tower,3,1.7666666666666666,-25.8,0.043333333333333335,1.5266666666666666,38.233333333333334,1,2024,2024,permill,permill,percent,percent,NA,number,NA,NA
