uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
580b1450-8576-4fd8-bfe1-426c10206348,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2024-07-22T18:06:00Z,2024-07-22T18:06:00Z,NIWO.peakGreenness.2024,NEON.DOC.014048vP,NIWO_004-O-23-20240722,NIWO_004-O-20240722-COMP,B00000105220,OK,2024-07-22T18:06:00Z,0009-0008-9825-3239,NA,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_metagenomicsPooling
657eee8d-7ed2-4719-936a-8d4af1315ad1,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2024-07-22T18:06:00Z,2024-07-22T19:02:00Z,NIWO.peakGreenness.2024,NEON.DOC.014048vP,NIWO_004-M-23-20240722|NIWO_004-M-39-20240722|NIWO_004-M-21-20240722,NIWO_004-M-20240722-COMP,B00000105234,OK,2024-07-22T19:02:00Z,0009-0008-9825-3239,NA,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_metagenomicsPooling
