dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,d15N_mean_2018_2024,d13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,carbonPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,d13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,carbonPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_001,MLBS_001.basePlot.cfc,distributed,gv/1/Di3XvEFzcDzDUTjHBJMFIYYdhZqvdz2e0WFhIM=,A00000012244,1,-1.5,-29.7,2.23,52.06,23.4,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_001,MLBS_001.basePlot.cfc,distributed,gv/1/Di3XvF3cnDy5BBtPvW1F/VSnN/aCjtRIg6gfYM=,A00000012178,1,-0.9,-29.7,2.59,50.48,19.5,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_001,MLBS_001.basePlot.cfc,distributed,gv/1/Di3XvFpXTGDRuAs1IJyD6pGKMzUEEVvcHvNfWE=,A00000012514,1,0.4,-27.6,2.69,51.51,19.1,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_002,MLBS_002.basePlot.cfc,distributed,gv/1/Di3XvF/o8Z1rr3bWWAPRo3uGPTasrg1AXslqX4=,A00000224408,1,-2.5,-26.8,2.67,50.97,19.1,1,2023,2023,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_002,MLBS_002.basePlot.cfc,distributed,gv/1/Di3XvFHQUg03G1z8aiepKG3SBeboaMOYV0/J6E=,A00000012177,1,-2.1,-28.8,2.07,50.04,24.2,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_002,MLBS_002.basePlot.cfc,distributed,gv/1/Di3XvGK91WgTxBVo+nMQa7ZsC4f20gN9hBtLuo=,A00000012515,1,-3,-29.2,2.37,51.42,21.7,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_002,MLBS_002.basePlot.cfc,distributed,gv/1/Di3XvGK91WgTxBVo4B/ueGdwI1iaHFMUg7ZG7c=,A00000224383,1,-2.7,-27.7,2.21,50.61,22.9,1,2023,2023,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_002,MLBS_002.basePlot.cfc,distributed,gv/1/Di3XvGK91WgTxBVo5F5JuaX6eseM3/Tlqd7008=,NA,1,-3,-30.6,2.28,50.39,22.1,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_002,MLBS_002.basePlot.cfc,distributed,gv/1/Di3XvHXYHzGfvwaDDrJ/6GsbHAFmgRQ/uHhdeA=,A00000224407,2,-2.25,-25.8,3.0949999999999998,49.92,16.15,1.5,2023,2023,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,MLBS,cfc_carbonNitrogen,"2018,2023",MLBS,MLBS_003,MLBS_003.basePlot.cfc,distributed,gv/1/Di3XvHW5/4uHYOlmUBFRWwoYmpLZaNyYO1O7Jk=,A00000012176,1,-1,-29.3,2.06,51.67,25.1,1,2018,2018,permill,permill,percent,percent,NA,number,NA,NA
