uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
0de6d0ba-49c2-48a4-bc00-c3477830fd4a,2024-12-16,BONA_070.basePlot.bgc,D19,BONA,BONA_070,tower,2024-07-08T23:21:00Z,2024-07-08T23:21:00Z,BONA_070-O-41-20240708,A00000431333,BONA_070-O-41-20240708-CN,A00000433433,soil,N,N,-0.7,-29.4,0.91,47.03,52,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
0c15a303-0021-47c8-bbc9-4f502424b0e2,2024-12-17,BONA_070.basePlot.bgc,D19,BONA,BONA_070,tower,2024-07-08T23:21:00Z,2024-07-08T23:21:00Z,BONA_070-M-41-20240708,A00000431337,BONA_070-M-41-20240708-CN,A00000433427,soil,N,N,2.6,-26.5,0.89,18.63,20.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
6e5eb4b8-dd98-4f5c-8aac-3c1c4d0a9aad,2024-12-16,BONA_084.basePlot.bgc,D19,BONA,BONA_084,tower,2024-07-08T23:39:00Z,2024-07-08T23:39:00Z,BONA_084-M-41-20240708,A00000431323,BONA_084-M-41-20240708-CN,A00000433431,soil,N,N,5.6,-27.1,0.07,1.54,20.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
9c8244b6-91a2-49ae-acd0-986bddb015f4,2024-12-17,BONA_084.basePlot.bgc,D19,BONA,BONA_084,tower,2024-07-08T23:39:00Z,2024-07-08T23:39:00Z,BONA_084-O-41-20240708,A00000431320,BONA_084-O-41-20240708-CN,A00000433430,soil,N,N,3.7,-28.5,1.71,47.44,27.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
bf94bee3-cfff-4576-b84d-9a0fff4db7bc,2024-12-16,BONA_084.basePlot.bgc,D19,BONA,BONA_084,tower,2024-07-09T00:49:00Z,2024-07-09T00:49:00Z,BONA_084-M-23-20240708,A00000431321,BONA_084-M-23-20240708-CN,A00000433419,soil,N,N,5.5,-27,0.15,2.77,18.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
51edf91d-9ad6-4f3d-a6d1-7b9447d02d35,2024-12-16,BONA_084.basePlot.bgc,D19,BONA,BONA_084,tower,2024-07-09T00:49:00Z,2024-07-09T00:49:00Z,BONA_084-O-23-20240708,A00000431318,BONA_084-O-23-20240708-CN,A00000433423,soil,N,N,3.2,-28.5,1.89,46.57,24.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
5938daaf-1763-4752-b69d-8aa61b7a6dd6,2024-12-16,BONA_002.basePlot.bgc,D19,BONA,BONA_002,distributed,2024-07-09T18:33:00Z,2024-07-09T18:33:00Z,BONA_002-O-23-20240709,A00000431368,BONA_002-O-23-20240709-CN,A00000433438,soil,N,N,0.5,-28.5,2.3,49.73,21.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
08649f70-0971-456d-a2e5-8074cb7478ad,2024-12-16,BONA_002.basePlot.bgc,D19,BONA,BONA_002,distributed,2024-07-09T18:33:00Z,2024-07-09T18:33:00Z,BONA_002-M-23-20240709,A00000431371,BONA_002-M-23-20240709-CN,A00000433440,soil,N,N,3.5,-27.2,0.2,3.38,17.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
9539d7b1-f9a6-48c0-848e-02c977aaf885,2024-12-16,BONA_002.basePlot.bgc,D19,BONA,BONA_002,distributed,2024-07-09T19:15:00Z,2024-07-09T19:15:00Z,BONA_002-O-21-20240709,A00000431369,BONA_002-O-21-20240709-CN,A00000433439,soil,N,N,0.7,-28.3,2.35,47.94,20.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
895dad75-f3c5-4ae4-ae36-20b07587d151,2024-12-17,BONA_002.basePlot.bgc,D19,BONA,BONA_002,distributed,2024-07-09T19:15:00Z,2024-07-09T19:15:00Z,BONA_002-M-21-20240709,A00000431366,BONA_002-M-21-20240709-CN,A00000433442,soil,N,N,2.6,-26.1,0.74,11.4,15.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Thermo IsoLink Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T194013Z,RELEASE-2026,DP1.10086.001,BONA,2024,sls_soilChemistry
