siteID,years_available,years_included,soil_moisture_mean_2018_2024,soil_moisture_mean_2018_2024_unit,soil_moisture_sd_across_years_2018_2024,soil_moisture_sd_across_years_2018_2024_unit,soil_moisture_min_2018_2024,soil_moisture_min_2018_2024_unit,soil_moisture_max_2018_2024,soil_moisture_max_2018_2024_unit,total_obs_2018_2024,total_obs_2018_2024_unit,first_date_2018_2024,first_date_2018_2024_unit,last_date_2018_2024,last_date_2018_2024_unit,source_dpID,source_table,source_variable
JORN,7,2018;2019;2020;2021;2022;2023;2024,0.082417997,cubicCentimetersPerCubicCentimeter,0.017304947,cubicCentimetersPerCubicCentimeter,4e-04,cubicCentimetersPerCubicCentimeter,0.8802,cubicCentimetersPerCubicCentimeter,1699189,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
KONA,7,2018;2019;2020;2021;2022;2023;2024,0.257165854,cubicCentimetersPerCubicCentimeter,0.02917305,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5854,cubicCentimetersPerCubicCentimeter,2303765,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
KONZ,7,2018;2019;2020;2021;2022;2023;2024,0.194913642,cubicCentimetersPerCubicCentimeter,0.044655418,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5519,cubicCentimetersPerCubicCentimeter,1939648,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
LAJA,7,2018;2019;2020;2021;2022;2023;2024,0.316199245,cubicCentimetersPerCubicCentimeter,0.055870746,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.943,cubicCentimetersPerCubicCentimeter,1118484,count,4/30/18 19:30,datetime,12/31/24 9:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
LENO,7,2018;2019;2020;2021;2022;2023;2024,0.298889911,cubicCentimetersPerCubicCentimeter,0.022073715,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.7937,cubicCentimetersPerCubicCentimeter,1272607,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
MLBS,7,2018;2019;2020;2021;2022;2023;2024,0.169340447,cubicCentimetersPerCubicCentimeter,0.036974526,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5082,cubicCentimetersPerCubicCentimeter,2102161,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
MOAB,7,2018;2019;2020;2021;2022;2023;2024,0.072566676,cubicCentimetersPerCubicCentimeter,0.008093404,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.7396,cubicCentimetersPerCubicCentimeter,1937720,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
NIWO,7,2018;2019;2020;2021;2022;2023;2024,0.134880169,cubicCentimetersPerCubicCentimeter,0.015020747,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6641,cubicCentimetersPerCubicCentimeter,1126725,count,1/4/18 18:30,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
NOGP,7,2018;2019;2020;2021;2022;2023;2024,0.120312799,cubicCentimetersPerCubicCentimeter,0.007060989,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.8634,cubicCentimetersPerCubicCentimeter,1985461,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
OAES,7,2018;2019;2020;2021;2022;2023;2024,0.140906417,cubicCentimetersPerCubicCentimeter,0.024477553,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.9358,cubicCentimetersPerCubicCentimeter,1170514,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
