dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,horizon,sampleTopDepth,sampleBottomDepth,sampleExtent,n_raw_records,coreCoordinateX_mean_2018_2024,coreCoordinateY_mean_2018_2024,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,standingWaterDepth_mean_2018_2024,soilTemp_mean_2018_2024,litterDepth_mean_2018_2024,soilCoreCount_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,coreCoordinateX_mean_2018_2024_unit,coreCoordinateY_mean_2018_2024_unit,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,standingWaterDepth_mean_2018_2024_unit,soilTemp_mean_2018_2024_unit,litterDepth_mean_2018_2024_unit,soilCoreCount_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,9,obstruction,1,16.5,31,40.197386,-105.472276,20.1,2677.6,0.15,0,15.2,2.5,1,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,9.2,obstruction,1,36,26,40.197386,-105.472276,20.1,2677.6,0.15,0,11.3,6,3,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,10.4,obstruction,1,7,19.5,40.197386,-105.472276,20.1,2677.6,0.15,0,12.1,3,3,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,11.5,obstruction,1,19,9,40.197386,-105.472276,20.1,2677.6,0.15,0,2.9,4,1,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,12,maximum,1,16.5,31,40.197386,-105.472276,20.1,2677.6,0.15,0,17,1,2,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,13.1,obstruction,1,8.5,3,40.197386,-105.472276,20.1,2677.6,0.15,0,12.6,2.5,3,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,14.5,obstruction,1,22.5,33.5,40.197386,-105.472276,20.1,2677.6,0.15,0,13.1,2.5,2,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,15,obstruction,2,28.5,24,40.197386,-105.472276,20.1,2677.6,0.15,0,3.9,5.25,1,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,15.2,obstruction,1,32,24,40.197386,-105.472276,20.1,2677.6,0.15,0,10.3,2.5,3,2023,2023,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,RMNP,sls_soilCoreCollection,2018-2024,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,M,0,15.3,obstruction,1,39,30,40.197386,-105.472276,20.1,2677.6,0.15,0,NA,1,3,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
