dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,d15N_mean_2018_2024,d13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,carbonPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,d13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,carbonPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_005,SRER_005.basePlot.cfc,distributed,jf4sOIyMYqyDm3Mx/6NQiL2nbmkoUBXZ5LkTl35bQ6Q=,A00000279763,2,3.4,-13.55,1.57,35.945,22.95,1.5,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_005,SRER_005.basePlot.cfc,distributed,jf4sOIyMYqygv6vu/5h+8P27JkjeHaVtxifJm3m208k=,A00000279885,1,3.5,-28.6,2.5,45.58,18.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_005,SRER_005.basePlot.cfc,distributed,jf4sOIyMYqzkkNrC4eFqCe5yOWLP1q7V3mN5toV09u4=,A00000279762,1,4.2,-26,3.66,39.4,10.8,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_006,SRER_006.basePlot.cfc,distributed,jf4sOIyMYqwavsW0R66haBpoAsl0GiBOx+ywlb1dUp4=,A00000279761,1,6.2,-25.8,3.65,36.37,10,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_006,SRER_006.basePlot.cfc,distributed,jf4sOIyMYqx6WrAE2n7QNdbMY3sEN7tn1uyga746RfI=,A00000279892,1,5.7,-15.2,4.52,44.23,9.8,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_006,SRER_006.basePlot.cfc,distributed,jf4sOIyMYqxqeekqhgoxM61l4eLbkTd+g9s4RQFZ5qM=,A00000279748,1,5.7,-28.4,3.21,49.13,15.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_006,SRER_006.basePlot.cfc,distributed,jf4sOIyMYqy/4wkyZKATbpcA8btE7eSdZmm0fQFqCEI=,A00000279751,1,4,-24.9,3.42,50.05,14.7,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_007,SRER_007.basePlot.cfc,distributed,jf4sOIyMYqxF0fkovBPluXfO4/oLy0qDYPFS9Fbcaxk=,A00000279760,1,6.3,-26.6,4,35.88,9,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_007,SRER_007.basePlot.cfc,distributed,jf4sOIyMYqxber0DlvIjBA/gipF9Yje+rnBoRGbApWw=,A00000279890,1,3.4,-25.7,1.36,46.32,34,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_007,SRER_007.basePlot.cfc,distributed,jf4sOIyMYqze1B/4vyCDpBp229xtTweT1cVQTwbwNKQ=,A00000279767,2,4.8,-28,3.62,44.65,12.350000000000001,1.5,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_008,SRER_008.basePlot.cfc,distributed,jf4sOIyMYqwudtGavobZ/xMvypeVGPlW15O6jr/KH+s=,NA,1,3.3,-20.3,1.54,45.08,29.2,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_010,SRER_010.basePlot.cfc,distributed,jf4sOIyMYqx6GQXbEJe+igjWFxBIR5buCNin/juErPs=,A00000279709,1,2.2,-26.3,3.36,50.78,15.1,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_011,SRER_011.basePlot.cfc,distributed,jf4sOIyMYqx481riAd44E4VtZfYzlLHf+AHuqJboxk8=,A00000279884,1,1.9,-24,1.35,45.36,33.6,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_011,SRER_011.basePlot.cfc,distributed,jf4sOIyMYqxIfWX4kZJhrccks9/zfzpldMoOS7VCdaA=,A00000279745,1,3.7,-25.7,4.3,49.91,11.6,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_011,SRER_011.basePlot.cfc,distributed,jf4sOIyMYqyO6mUT6wQZxLdY+0UGnN6o3TPsj7F6Ln8=,A00000279769,1,3.9,-27.5,3.86,47.3,12.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_013,SRER_013.basePlot.cfc,distributed,jf4sOIyMYqwXhmYozHgEMucTonv84WUpAAf77AhGX6c=,A00000279900,1,3.7,-27,2.7,48.14,17.8,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_014,SRER_014.basePlot.cfc,distributed,jf4sOIyMYqzNma/fY6jWP0drjXHsDtINsjPntu913Jw=,A00000280141,1,3.1,-14.5,1.03,44.41,43.1,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_016,SRER_016.basePlot.cfc,distributed,jf4sOIyMYqyDM2GZFX3UsLfVNMm/oIRDGg2ruM0QMgs=,A00000279757,1,3.5,-26.8,3.72,49.62,13.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_018,SRER_018.basePlot.cfc,distributed,jf4sOIyMYqxKk7Ecfou2s9KASA1NBRoDlvkFoDLh2R4=,A00000279765,1,5.6,-27.9,3.79,48.63,12.8,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_018,SRER_018.basePlot.cfc,distributed,jf4sOIyMYqzLy5KDZkk1h+5YsfkhrTE1hz5j3EDhguE=,A00000279749,1,5.9,-26.2,3.93,49.96,12.7,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_018,SRER_018.basePlot.cfc,distributed,jf4sOIyMYqzLy5KDZkk1h13bSE67/77ATp5TFM6tbVM=,A00000279755,1,6.4,-27.1,3.38,50.09,14.8,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_019,SRER_019.basePlot.cfc,distributed,jf4sOIyMYqxujHk9sjZNdcX8P69531tLMwrb0E+8ujM=,A00000279768,1,4.2,-26.8,3.52,47.21,13.4,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_019,SRER_019.basePlot.cfc,distributed,jf4sOIyMYqyuI7TQ4C+uv/PQnYhzI1XRykE0SEt6oTA=,A00000279772,1,5.2,-27.5,3.6,48.64,13.5,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_045,SRER_045.basePlot.cfc,tower,jf4sOIyMYqxBbpNkmDSys/+giwkirbfKwrr/J7eB5Jk=,A00000279766,1,3.2,-30.5,3.04,46.43,15.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_047,SRER_047.basePlot.cfc,tower,jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpFenw1hIgzeg=,A00000279758,1,5.3,-27.9,3.06,48.41,15.8,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_047,SRER_047.basePlot.cfc,tower,jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJB6Ci1OTBR5A=,A00000279759,1,4.2,-28.6,3.33,48.67,14.6,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_052,SRER_052.basePlot.cfc,tower,jf4sOIyMYqznwapiSGD7Ia6LbuQQRYHbV/PsiDWJ2iY=,NA,1,4.7,-26.3,3.25,49.77,15.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_053,SRER_053.basePlot.cfc,tower,jf4sOIyMYqw13iRK6RdHdn0eK5A01tgekGAtHFV5kL4=,A00000279710,1,5.7,-13.9,1.03,35.38,34.2,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_053,SRER_053.basePlot.cfc,tower,jf4sOIyMYqzspauGGHaFa3AJOQQrZPBeyL1riKUXlCQ=,A00000279898,1,4.5,-12.5,0.46,33.05,71.4,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_053,SRER_053.basePlot.cfc,tower,jf4sOIyMYqzspauGGHaFazAzT6NzH8PVhfrqJJrLPAg=,A00000279899,1,4.2,-12.3,0.4,36.3,91.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_055,SRER_055.basePlot.cfc,tower,jf4sOIyMYqw9IPy6nY1Y0n8wjRmwo2iTpnNSpUABWWs=,A00000279756,2,0.25,-27.8,2.865,44.9,15.700000000000001,1.5,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_058,SRER_058.basePlot.cfc,tower,jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8uiq/gpGl+os=,A00000279896,1,1.1,-28.4,2.93,44.74,15.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
