siteID,horizontalPosition,verticalPosition,table,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF,table,site,height_m,source_file
BARR,000,030,PARPAR_30min,189.5193307,156.4743777,235.546233,1992.10949,1797.975991,7.842811983,0.438203293,0.127835354,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BARR,3,DP1.00024.001.BARR.AVERAGE_ALL_VARIABLES.csv
BARR,000,040,PARPAR_30min,199.6813096,164.4747035,248.727125,2180.312939,1797.754214,7.701454782,0.467579986,0.079031417,113.5309794,98.37356851,133.5274599,554.83971,1797.689862,4.665038255,0.19677209,0.092637857,PARPAR_30min,BARR,4,DP1.00024.001.BARR.AVERAGE_ALL_VARIABLES.csv
BART,000,010,PARPAR_1min,17.75755335,14.66205523,22.42098911,162.9956093,59.99298962,1.521301795,0.254821308,0.078714205,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BART,1,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,020,PARPAR_1min,19.75861723,16.09460816,25.28027577,227.4986508,59.99279959,1.675978065,0.299765459,0.068906433,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BART,2,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,030,PARPAR_1min,185.5652234,153.4930542,221.6899873,5253.331853,59.99311659,9.979278981,2.450824108,0.0147729,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BART,3,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,040,PARPAR_1min,290.6309436,270.9604275,310.7904652,2915.661081,59.99367076,10.5651456,1.560632715,0.024667036,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BART,4,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,050,PARPAR_1min,304.5935716,285.0186525,324.5037976,2962.713158,59.99245418,11.55067445,1.55867562,0.015345674,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BART,5,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,060,PARPAR_1min,314.418419,294.6787742,334.521944,2975.402874,59.99216775,11.56722078,1.573379133,0.02658606,13.56760536,12.74545157,14.40020182,3.54854637,59.99227928,1.061655906,0.063899608,0.04850302,PARPAR_1min,BART,6,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,010,PARPAR_30min,17.80717469,8.519178429,52.66160545,1295.757091,1796.86532,2.218718166,0.204458519,0.080310585,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BART,1,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,020,PARPAR_30min,19.7920462,9.349857491,59.3641796,1705.42826,1796.884271,2.595149253,0.236515019,0.070370551,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BART,2,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,030,PARPAR_30min,185.977243,97.58840123,310.2712324,15640.75794,1796.70065,10.5967092,1.221038365,0.016449941,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BART,3,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,040,PARPAR_30min,291.1956713,194.4184974,399.7922377,15605.02333,1796.97689,11.97106888,1.256340902,0.026218876,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BART,4,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,050,PARPAR_30min,305.2320178,208.2892638,413.1326746,15649.40557,1796.841412,13.18515614,1.254466001,0.017036566,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,BART,5,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BART,000,060,PARPAR_30min,315.338514,216.5965241,425.3221618,15817.20025,1796.197738,13.18127477,1.277164762,0.028606114,13.60883398,9.577781982,18.09513431,21.72348067,1796.15453,1.109505028,0.050640077,0.050441598,PARPAR_30min,BART,6,DP1.00024.001.BART.AVERAGE_ALL_VARIABLES.csv
BLAN,000,010,PARPAR_1min,37.49942798,30.98794091,46.60461984,392.7474703,59.98713132,2.462210955,0.508877106,0.020051167,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BLAN,1,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
BLAN,000,020,PARPAR_1min,57.7403987,47.36910293,72.57097195,863.9879958,59.97812908,3.418850189,0.806967513,0.063407639,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,BLAN,2,DP1.00024.001.BLAN.AVERAGE_ALL_VARIABLES.csv
