dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,n_raw_records,d15N_mean_2018_2024,organicd13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,organicCPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,organicd13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,organicCPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_001,UNDE_001.basePlot.bgc,distributed,11,2.645454545454545,-26.990909090909092,1.0927272727272728,18.5,16.627272727272725,1.1818181818181819,2021.2727272727273,2021.2727272727273,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_002,UNDE_002.basePlot.bgc,distributed,6,-1.5,-28.066666666666666,1.6433333333333333,48.49166666666667,30.233333333333334,1,2021.5,2021.5,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_003,UNDE_003.basePlot.bgc,distributed,7,2.5714285714285716,-26.34285714285714,1.2914285714285714,25.505714285714287,18.757142857142856,1,2021.857142857143,2021.857142857143,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_006,UNDE_006.basePlot.bgc,distributed,6,4.45,-25.75,0.15666666666666668,2.1033333333333335,13.433333333333334,1.1666666666666667,2021.5,2021.5,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_008,UNDE_008.basePlot.bgc,distributed,6,3.3166666666666664,-26.116666666666667,0.15666666666666668,2.62,16.8,1,2021.5,2021.5,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_010,UNDE_010.basePlot.bgc,distributed,7,1.4571428571428573,-26.97142857142857,1.64,37.92857142857143,23.9,1.1428571428571428,2021.857142857143,2021.857142857143,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_037,UNDE_037.basePlot.bgc,tower,11,2.2454545454545456,-27.009090909090908,1.010909090909091,21.575454545454548,21.80909090909091,1.0909090909090908,2021.7272727272727,2021.7272727272727,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_038,UNDE_038.basePlot.bgc,tower,8,1.275,-27.1625,1.2975,33.53625,25.1625,1,2021.5,2021.5,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_043,UNDE_043.basePlot.bgc,tower,6,1.2166666666666663,-27.03333333333333,0.13833333333333334,2.796666666666667,19.766666666666666,1,2021.5,2021.5,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,UNDE,sls_soilChemistry,2018-2024,UNDE,UNDE_044,UNDE_044.basePlot.bgc,tower,9,3.3666666666666667,-26.022222222222222,0.3622222222222222,7.831111111111111,19.122222222222224,1.1111111111111112,2021.2222222222222,2021.2222222222222,permill,permill,percent,percent,NA,number,NA,NA
